Symbol,NumAppearances
MSFT,221
AAPL,209
AMZN,176
FB,172
GOOGL,164
NVDA,161
TSLA,134
GOOG,119
JPM,114
JNJ,104
BRK.B,85
ROG,84
NESN,79
ASML,76
V,76
XTSLA,72
00700,70
2330.TW,62
NOVN,60
ADBE,59
VZ,58
HD,58
UNH,57
FTIXX,57
PG,56
PYPL,54
MC.PA,53
7203,52
CSCO,50
DAPXX,49
XOM,49
03690,48
ULVR.L,48
INFY.BO,46
SAP.DE,46
005930.KS,45
TGT,45
INTC,44
BAC,44
AZN.L,41
09988,40
00939,39
BABA,39
PFE,36
NOVO B,36
AGPXX,35
JD,34
WMT,34
MA,34
LLY,33
WFC,32
NKE,31
MRK,30
FGTXX,30
01299.HK,29
NIO,29
PM,29
CMCSA,28
TXN,28
FGXXX,28
T,28
ABBV,27
CRM,27
VALE3.SA,27
CVX,27
RIO.L,26
QCOM,26
COST,26
MRNA,26
ENPH,25
PEP,25
SIE.DE,25
RELIANCE.B,24
ENB.TO,24
NPN.JO,24
TMO,24
GSK.L,24
BIDU,23
SHOP.TO,23
RY.TO,23
PSA,23
IBM,23
FTNT,23
UPS,23
ORCL,22
02318,22
AMT,22
AVGO,22
SAN.PA,22
DIS,22
NTES,21
LOW,21
SQ,21
GS,21
AMC,21
PLD,21
NET,21
EBAY,21
OR.PA,21
DHR,21
ALV.DE,21
ACN,20
BHP.AX,20
GME,20
SEDG,20
COP,20
C,20
ROKU,19
NTLA,19
6758,19
EQIX,19
MRVL,19
MSTR,19
BIIB,19
NFLX,19
QQQ,18
GNRC,18
DLR,18
TECH,18
NEE,18
AMD,18
DOCU,18
IDXX,18
KO,18
WMB,18
KMI,18
MCD,17
TRP.TO,17
6861,17
WELL,17
CROX,17
TTE.PA,17
CVS,16
NEM,16
TSM.TW,16
XLK,16
BMY,16
SE.SI,16
TWLO,16
KR,16
BILI,16
FANG,16
ADM,16
RUN,15
AMAT,15
INTU,15
AVB,15
02269,15
LIN.L,15
OXY,15
SNAP,15
DAI.DE,15
MS,15
CCI,15
OMCL,15
TCS.BO,15
MO,15
SAIA,15
EOG,15
REGN,14
MOH,14
DDD,14
8035,14
GILD,14
HON,14
UNP,14
CRWD,14
DPW.DE,14
FMG.AX,14
OKE,14
DUK,14
ADI,14
GM,13
WM,13
DTE.DE,13
BISXX,13
FXFXX,13
ZM,13
TWTR,13
OVV,13
9984,13
SPG,13
PXD,13
LSCC,13
NUE,13
DE,13
AXP,13
SRE,13
NOW,13
FCX,13
HPQ,13
SHW,13
PNC,13
BATS.L,13
9434,13
MMM,13
SBNY,13
ALL,13
CTVA,12
LRCX,12
JNK,12
HYG,12
XLY,12
600519,12
MDLZ,12
IVV,12
300750,12
000660.KS,12
TD.TO,12
CRL,12
AMGN,12
ILMN,12
MPC,12
TLT,12
ZS,12
HUBS,12
IP,12
6501,12
COF,12
GGG,12
GTLS,12
LNG,12
EXC,12
ENEL.MI,12
ZNU21,12
PLUG,11
MU,11
PDD,11
XLF,11
CL,11
PINS,11
8306,11
CZR,11
EQR,11
EXR,11
XEL,11
DGE.L,11
DOW,11
ABT,11
RMD,11
MDT,11
GD,11
BLK,11
CGNX,11
M,11
SWKS,11
A,11
PEG,11
HDFC.BO,11
NTR.TO,11
ENSG,11
00388.HK,10
SCHW,10
SPY,10
EPD,10
AWK,10
VRTX,10
AEP,10
CARR,10
RSG,10
SIVB,10
6098,10
7974,10
4063,10
NVAX,10
AXON,10
PTON,10
TTD,10
SPLK,10
00006.HK,10
MCO,10
MSI,10
BAS.DE,10
SU.PA,10
BA,10
NEO,10
POWI,10
SM,10
WSM,10
500696.BO,10
GVMXX,10
AD,10
IBE.BC,10
SBAC,10
BP..L,10
RDSA.L,10
SO,10
D,9
FSLR,9
HSY,9
FDX,9
ANTM,9
00823.HK,9
VALE.SA,9
PWR,9
UGI,9
000858,9
601012,9
MELI.SA,9
ET,9
ECL,9
MXIM,9
WBA,9
CBA.AX,9
WES.AX,9
CAT,9
ZTS,9
CDNS,9
IFF,9
PSX,9
035720.KS,9
ETSY,9
F,9
TLRY.TO,9
ANAT,9
DFS,9
BAYN.DE,9
SGRO.L,9
CHTR,9
2317.TW,9
CINF,9
RTX,9
FICO,9
LH,9
SLB,9
ATVI,9
ADYEN,9
XLNX,9
STAA,9
EXPD,9
IIPR,9
SPGI,8
LQD,8
XLI,8
XLC,8
LPX,8
ORI,8
035420.KS,8
MMC,8
SPOT,8
AJG,8
006400.KS,8
6594,8
O,8
ARE,8
ENTG,8
IIVI,8
6702,8
CUBE,8
ABBN,8
PKI,8
MISXX,8
OKTA,8
FVRR,8
LNT,8
KMB,8
CM.TO,8
VEEV,8
WEED.TO,8
GRWG,8
LEN,8
VWS,8
TROW,8
DHI,8
AI.PA,8
SBUX,8
NTAP,8
PHM,8
LMT,8
HYLB,8
XPO,8
CPT,8
GE,8
00016.HK,8
2603.TW,8
CMG,8
PPL.TO,8
SNPS,8
HSBA.L,8
MSCI,8
ZBRA,8
STX.SI,7
XLV,7
AGG,7
ARW,7
601318,7
MDB,7
DXCM,7
IJR,7
AOS,7
ALXN,7
COIN,7
PACB,7
CRSP,7
FITB,7
TRGP,7
ABNB,7
BKNG,7
GLEN,7
CSL.AX,7
BNS.TO,7
CNR.TO,7
DDOG,7
ZLAB,7
FRPT,7
SGMS,7
ADS.DE,7
LSI,7
MRW.L,7
SI,7
ISRG,7
IEF,7
DASH,7
VIAC,7
ZFU21,7
EMA.TO,7
SCMN,7
NDAQ,7
DGCXX,7
PBH,7
WFCPL,7
AVGOP,7
CLTL,7
ICE,7
SBER,7
RDSB.L,7
NOC,7
DWNI.DE,7
GMG.AX,7
9433,7
TTC,7
LB,7
DISH,7
XLE,7
XPEV,7
TMUS,7
INVE B,7
PETR4.SA,7
BK,7
MRO,7
LIGHT,7
ROP,7
APD,7
UPWK,7
WPM.TO,7
EL,7
TDC,7
STLD,7
AR,7
COR,7
KL.TO,7
JCI,7
TNU21,7
CIM,7
PGR,7
NVCR,7
ODFL,7
VCSH,6
SWBI,6
VSTO,6
600036,6
601888,6
AZO,6
DCP,6
TRMB,6
D05.SI,6
300760,6
NLOK,6
NVR,6
01211,6
BAM.A.TO,6
POOL,6
VICI,6
TXG,6
MGM,6
EMDU21,6
MAC,6
BND,6
PANW,6
QRVO,6
ANF,6
VOW3.DE,6
WEC,6
TEL,6
00968,6
01398,6
VRNS,6
BCE.TO,6
TJX,6
RIGD.BO,6
COKE,6
DDS,6
WY,6
PFF,6
IFX.DE,6
PRU,6
KINV B,6
IPG,6
DAR,6
RS,6
TDY,6
LHX,6
ANGL,6
USB,6
BKE,6
2615.TW,6
IRM,6
INDA,6
01113.HK,6
RIO.AX,6
EWBC,6
VNA.DE,6
8801,6
GRMN,6
VALMT,6
ENG.BC,6
MAERSK B,6
NUAN,6
2454.TW,6
SOF,6
500034.BO,6
XLP,6
SEE,6
EIX,6
BBY,6
SLAB,6
VTR,6
ITUB4.SA,6
ALLY,6
CNC,6
DVN,6
EQT,6
IEFA,6
PAYX,6
LKOH,6
GAZP,6
MTD,6
PPG,6
JEF,6
OLN,6
TSN,6
ZBU21,6
DG,6
TER,6
CLX,6
MTDR,6
DGX,6
APPS,6
ARWR,6
ZTU21,6
9432,6
GETI B,6
KSU,6
PFPT,6
FDS,6
BRO,6
BKLN,6
BNTX.DE,5
DD,5
ABX.TO,5
KKR,5
02313,5
03968,5
OSK,5
002594,5
MPLX,5
MMP,5
IEMG,5
XYL,5
WTRG,5
PNR,5
WORK,5
TDOC,5
FATE,5
U,5
BBCA,5
