Bigram,Name,SumWeights
"('AAPL', 'MSFT')","('Apple Inc', 'Microsoft Corp')",20.259199983
"('AMZN', 'MSFT')","('Amazon.com Inc', 'Microsoft Corp')",14.380499959999998
"('AAPL', 'AMZN')","('Apple Inc', 'Amazon.com Inc')",14.292699977999993
"('GOOGL', 'MSFT')","('Alphabet Inc A', 'Microsoft Corp')",12.649000030299987
"('AAPL', 'GOOGL')","('Apple Inc', 'Alphabet Inc A')",11.990100036299998
"('AAPL', 'FB')","('Apple Inc', 'Facebook Inc A')",11.138499981500008
"('FB', 'MSFT')","('Facebook Inc A', 'Microsoft Corp')",10.7356999665
"('AMZN', 'FB')","('Amazon.com Inc', 'Facebook Inc A')",10.1680999675
"('GOOGL', 'AMZN')","('Alphabet Inc A', 'Amazon.com Inc')",10.105400006500004
"('NVDA', 'MSFT')","('NVIDIA Corp', 'Microsoft Corp')",9.9684999693
"('AAPL', 'NVDA')","('Apple Inc', 'NVIDIA Corp')",9.327200003300002
"('GOOGL', 'FB')","('Alphabet Inc A', 'Facebook Inc A')",9.289900010300004
"('AAPL', 'TSLA')","('Apple Inc', 'Tesla Inc')",8.185100017599996
"('TSLA', 'MSFT')","('Tesla Inc', 'Microsoft Corp')",7.740599988600001
"('TSLA', 'AMZN')","('Tesla Inc', 'Amazon.com Inc')",6.813599968600001
"('AMZN', 'NVDA')","('Amazon.com Inc', 'NVIDIA Corp')",6.3688999723
"('V', 'MSFT')","('Visa Inc Class A', 'Microsoft Corp')",5.497399979100001
"('AAPL', 'JPM')","('Apple Inc', 'JPMorgan Chase & Co')",5.3191000011
"('GOOGL', 'NVDA')","('Alphabet Inc A', 'NVIDIA Corp')",5.272800020600001
"('JPM', 'MSFT')","('JPMorgan Chase & Co', 'Microsoft Corp')",4.8581000041000015
"('TSLA', 'GOOGL')","('Tesla Inc', 'Alphabet Inc A')",4.842200041599999
"('AAPL', 'V')","('Apple Inc', 'Visa Inc Class A')",4.6376000071000005
"('03690', '00700')","('Meituan', 'Tencent Holdings Ltd')",4.579600013000001
"('NVDA', 'FB')","('NVIDIA Corp', 'Facebook Inc A')",4.4677999793
"('AAPL', 'JNJ')","('Apple Inc', 'Johnson & Johnson')",4.358599991999999
"('JNJ', 'MSFT')","('Johnson & Johnson', 'Microsoft Corp')",4.040499995
"('00700', '09988')","('Tencent Holdings Ltd', 'Alibaba Group Holding Ltd Ordinary Shares')",3.9914000069999997
"('TSLA', 'FB')","('Tesla Inc', 'Facebook Inc A')",3.9500999925999993
"('TSLA', 'NVDA')","('Tesla Inc', 'NVIDIA Corp')",3.911400006599999
"('AAPL', 'BRK.B')","('Apple Inc', 'Berkshire Hathaway Inc Class B')",3.6946000103000003
"('PYPL', 'MSFT')","('PayPal Holdings Inc', 'Microsoft Corp')",3.426099985999999
"('AMZN', 'JPM')","('Amazon.com Inc', 'JPMorgan Chase & Co')",3.3067999841
"('HOLD', 'TFDXX')","('AdvisorShares Sage Core Reserve', 'BlackRock Liquidity FedFund Instl')",3.2470998
"('AAPL', 'PYPL')","('Apple Inc', 'PayPal Holdings Inc')",3.2189999890000003
"('BRK.B', 'MSFT')","('Berkshire Hathaway Inc Class B', 'Microsoft Corp')",3.1980999922999995
"('005930.KS', '2330.TW')","('Samsung Electronics Co Ltd', 'Taiwan Semiconductor Manufacturing Co Ltd')",3.1925000139999993
"('00700', '2330.TW')","('Tencent Holdings Ltd', 'Taiwan Semiconductor Manufacturing Co Ltd')",3.1724000160000005
"('XOM', 'CVX')","('Exxon Mobil Corp', 'Chevron Corp')",3.059700008
"('EAGG', 'ESGU')","('iShares ESG Aware U.S. Aggregat', 'iShares ESG Aware MSCI USA ETF')",3.05370001
"('AMZN', 'BRK.B')","('Amazon.com Inc', 'Berkshire Hathaway Inc Class B')",2.9476999922999996
"('FCGXX', 'TFDXX')","('FidelityÂ® Inv MM Fds Government III', 'BlackRock Liquidity FedFund Instl')",2.9203998
"('ADBE', 'MSFT')","('Adobe Inc', 'Microsoft Corp')",2.8616999886000003
"('ROG', 'NESN')","('Roche Holding AG', 'Nestle SA')",2.8552999668
"('GRUB', 'TFDXX')","('Just Eat Takeaway.com NV ADR', 'BlackRock Liquidity FedFund Instl')",2.826999802
"('APPF', 'TFDXX')","('AppFolio Inc A', 'BlackRock Liquidity FedFund Instl')",2.826799802
"('EHTH', 'TFDXX')","('eHealth Inc', 'BlackRock Liquidity FedFund Instl')",2.8223998000000003
"('TFDXX', 'PCG')","('BlackRock Liquidity FedFund Instl', 'PG&E Corp')",2.8211998
"('WH', 'TFDXX')","('Wyndham Hotels & Resorts Inc Ordinary Shares', 'BlackRock Liquidity FedFund Instl')",2.819299802
"('TFDXX', 'BEKE')","('BlackRock Liquidity FedFund Instl', 'KE Holdings Inc ADR')",2.8189998000000003
"('MKTX', 'TFDXX')","('MarketAxess Holdings Inc', 'BlackRock Liquidity FedFund Instl')",2.8179998000000004
"('MA', 'MSFT')","('Mastercard Inc A', 'Microsoft Corp')",2.8057999665000004
"('03690', '09988')","('Meituan', 'Alibaba Group Holding Ltd Ordinary Shares')",2.7853999989999996
"('00700', '00939')","('Tencent Holdings Ltd', 'China Construction Bank Corp Class H')",2.7800000066000004
"('AAPL', 'ADBE')","('Apple Inc', 'Adobe Inc')",2.7650999904999995
"('AMZN', 'V')","('Amazon.com Inc', 'Visa Inc Class A')",2.744700004099999
"('AMZN', 'PYPL')","('Amazon.com Inc', 'PayPal Holdings Inc')",2.6955999889999993
"('JPM', 'BRK.B')","('JPMorgan Chase & Co', 'Berkshire Hathaway Inc Class B')",2.549200002
"('005930.KS', '00700')","('Samsung Electronics Co Ltd', 'Tencent Holdings Ltd')",2.489599993000001
"('2330.TW', '09988')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Alibaba Group Holding Ltd Ordinary Shares')",2.4720000085000002
"('UNH', 'MSFT')","('UnitedHealth Group Inc', 'Microsoft Corp')",2.4518000019999997
"('EAGG', 'ESGD')","('iShares ESG Aware U.S. Aggregat', 'iShares ESG Aware MSCI EAFE ETF')",2.4207
"('GOOGL', 'V')","('Alphabet Inc A', 'Visa Inc Class A')",2.4029000221
"('00700', 'BABA')","('Tencent Holdings Ltd', 'Alibaba Group Holding Ltd ADR')",2.401999979000001
"('UBM21', 'ZNM21')","('Ultra US Treasury Bond Future June 21', '10 Year Treasury Note Future June 21')",2.3853
"('GOOGL', 'JPM')","('Alphabet Inc A', 'JPMorgan Chase & Co')",2.3833000070999995
"('GOOGL', 'BRK.B')","('Alphabet Inc A', 'Berkshire Hathaway Inc Class B')",2.2498000127999997
"('NOVN', 'NESN')","('Novartis AG', 'Nestle SA')",2.2469999841000003
"('SCHO', 'ZNU21')","('Schwab Short-Term U.S. Treasury', '10 Year Treasury Note Future Sept 21')",2.2361
"('AMZN', 'HD')","('Amazon.com Inc', 'The Home Depot Inc')",2.2307999715
"('03690', '2330.TW')","('Meituan', 'Taiwan Semiconductor Manufacturing Co Ltd')",2.226800028
