Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
FND,Floor & Decor Holdings Inc,0.07,"[('XHB', 0.038), ('PKB', 0.032)]",New,New
SLCA,US Silica Holdings Inc,0.049,"[('XES', 0.049)]",New,New
CENX,Century Aluminum Co,0.047,"[('XME', 0.047)]",New,New
ASSA B,Assa Abloy AB B,0.046,"[('EWD', 0.046)]",New,New
ANDR,Andritz AG,0.046,"[('EWO', 0.046)]",New,New
QGEN,Qiagen NV,0.046,"[('PBE', 0.046)]",New,New
HEXA B,Hexagon AB Class B,0.045,"[('EWD', 0.045)]",New,New
SAND,Sandvik AB,0.044,"[('EWD', 0.044)]",New,New
A17U.SI,Ascendas Real Estate Investment Trust Units Real Estate Investment Trust,0.044,"[('EWS', 0.044)]",New,New
BN4.SI,Keppel Corp Ltd,0.044,"[('EWS', 0.044)]",New,New
RBI,Raiffeisen Bank International AG,0.043,"[('EWO', 0.043)]",New,New
CAI,CA Immobilien Anlagen AG,0.043,"[('EWO', 0.043)]",New,New
SSW.JO,Sibanye Stillwater Ltd Ordinary Shares,0.04,"[('EZA', 0.04)]",New,New
C6L.SI,Singapore Airlines Ltd,0.038,"[('EWS', 0.038)]",New,New
M44U.SI,Mapletree Logistics Trust,0.037,"[('EWS', 0.037)]",New,New
IIA,Immofinanz AG,0.035,"[('EWO', 0.035)]",New,New
WHD,Cactus Inc Class A,0.034,"[('IEZ', 0.034)]",New,New
FFIV,F5 Networks Inc,0.034,"[('IYZ', 0.034)]",New,New
SEB A,Skandinaviska Enskilda Banken AB A,0.032,"[('EWD', 0.032)]",New,New
SUM,Summit Materials Inc A,0.032,"[('PKB', 0.032)]",New,New
SLM.JO,Sanlam Ltd,0.028,"[('EZA', 0.028)]",New,New
LBTYK.L,Liberty Global PLC C,0.028,"[('IYZ', 0.028)]",New,New
SITM,SiTime Corp Ordinary Shares,0.028,"[('XSD', 0.028)]",New,New
CEIX,CONSOL Energy Inc Ordinary Shares,0.023,"[('RZV', 0.023)]",New,New
COOP,Mr. Cooper Group Inc,0.019,"[('RZG', 0.019)]",New,New
HZO,MarineMax Inc,0.019,"[('RZG', 0.019)]",New,New
COWN,Cowen Inc Class A,0.018,"[('KCE', 0.018)]",New,New
ZEUS,Olympic Steel Inc,0.014,"[('RZV', 0.014)]",New,New
CXW,CoreCivic Inc,0.012,"[('RZV', 0.012)]",New,New
SLA.L,Standard Life Aberdeen PLC,0.008,"[('DIM', 0.008)]",New,New
HLAG.DE,Hapag-Lloyd AG,0.008,"[('DIM', 0.008)]",New,New
TEL2 B,Tele2 AB B,0.007,"[('DIM', 0.007)]",New,New
LQDT,Liquidity Services Inc,0.007,"[('SSLY', 0.007)]",New,New
PLXS,Plexus Corp,0.006,"[('SSLY', 0.006)]",New,New
VG,Vonage Holdings Corp,0.006,"[('SSLY', 0.006)]",New,New
SANM,Sanmina Corp,0.006,"[('SSLY', 0.006)]",New,New
NWN,Northwest Natural Holding Co,0.005,"[('SSLY', 0.005)]",New,New
