Symbol,Name,SumWeights,DiffEntries,DiffValue
MSFT,Microsoft Corp,12.551199967600002,0,0.7821999979999994
AAPL,Apple Inc,12.482600020500008,0,0.7288000109999988
AMZN,Amazon.com Inc,9.407399949999997,0,0.4942000129999986
JPM,JPMorgan Chase & Co,3.0516000190999986,6,0.3979000099999994
TSLA,Tesla Inc,4.4728000205999985,0,0.39119999999999955
GOOGL,Alphabet Inc A,8.664600040799993,0,0.34679999899999636
NEE,NextEra Energy Inc,1.486699996,11,0.30469999999999997
BRK.B,Berkshire Hathaway Inc Class B,2.3588999926,2,0.28919999250000084
VZ,Verizon Communications Inc,1.8377999889,10,0.2704999880000001
XOM,Exxon Mobil Corp,2.680399979,1,0.27039999199999976
JNJ,Johnson & Johnson,2.9115999894999995,3,0.25620000099999896
CSCO,Cisco Systems Inc,1.6624999720000002,6,0.24579998700000005
PG,Procter & Gamble Co,1.7585000080000004,10,0.2400000000000002
LIN.L,Linde PLC,0.9323999959999999,43,0.23859998999999998
NESN,Nestle SA,2.2342999885999997,3,0.23239999999999972
PFE,Pfizer Inc,1.1878999920000002,30,0.2316999919999999
CVX,Chevron Corp,1.887500012,8,0.22750000000000004
NPN.JO,Naspers Ltd Class N,0.868699988,53,0.22459998999999997
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,3.1047000230000004,2,0.2161000000000004
005930.KS,Samsung Electronics Co Ltd,1.9819999959999999,5,0.2160000000000002
SLB,Schlumberger Ltd,0.567599996,141,0.21590000000000004
HD,The Home Depot Inc,1.7804000035000003,9,0.21409999999999996
V,Visa Inc Class A,2.0721999941,5,0.20939999899999995
NVDA,NVIDIA Corp,4.7367999885000005,0,0.20729999899999996
ABBV,AbbVie Inc,1.134399996,23,0.20389999699999994
KO,Coca-Cola Co,0.812499989,52,0.20210000000000017
BAC,Bank of America Corp,1.5236000104999998,8,0.2009000000000003
D05.SI,DBS Group Holdings Ltd,0.482099995,164,0.1966
HAL,Halliburton Co,0.25429999999999997,1080,0.18419999999999997
FB,Facebook Inc A,5.914599967499997,1,0.18419999700000034
LLY,Eli Lilly and Co,0.8793000005,35,0.182899998
FCX,Freeport-McMoRan Inc,0.5437999915,111,0.17499999700000002
PM,Philip Morris International Inc,1.043199993,21,0.1725000000000001
ROG,Roche Holding AG,1.9201999817999997,5,0.16660000000000008
NEM,Newmont Corp,1.016900023,21,0.16620000000000001
DUK,Duke Energy Corp,0.7402999989999999,41,0.1609999999999998
PEP,PepsiCo Inc,0.8894000071999999,29,0.15810000000000002
EBS,Erste Group Bank AG.,0.181,2243,0.1571
WFC,Wells Fargo & Co,1.1545000175000002,13,0.15190000000000015
MA,Mastercard Inc A,1.1901999955000002,14,0.15099999599999991
MO,Altria Group Inc,0.5122999955,89,0.14330000000000004
OMV,Omv AG,0.18530000000000002,1575,0.14280000000000004
O39.SI,Oversea-Chinese Banking Corp Ltd,0.291399994,364,0.1417
T,AT&T Inc,0.9621000015000002,15,0.14020000300000013
MRK,Merck & Co Inc,1.031200007,15,0.13600000200000006
SO,Southern Co,0.48879999799999996,91,0.13589999999999997
ABT,Abbott Laboratories,0.431600004,107,0.1357
UNP,Union Pacific Corp,0.635700001,49,0.13349999999999995
UPS,United Parcel Service Inc Class B,0.6272000024999999,50,0.13019999999999987
ENB.TO,Enbridge Inc,1.2912999900000002,6,0.12850000000000006
NOVN,Novartis AG,1.1906999971,11,0.12680000000000002
D,Dominion Energy Inc,0.46659999999999996,95,0.12579999799999997
FDX,FedEx Corp,0.468400013,95,0.12560000999999998
SHW,Sherwin-Williams Co,0.47729999900000003,84,0.1251
LOW,Lowe's Companies Inc,0.5938000029999999,51,0.12500000299999986
CBA.AX,Commonwealth Bank of Australia,0.37069999950000004,147,0.12500000000000006
COP,ConocoPhillips,0.9982000015000001,8,0.12319999900000012
MDLZ,Mondelez International Inc Class A,0.37080000180000006,135,0.12080000200000005
KSU,Kansas City Southern,0.3218,224,0.11929999999999999
