Symbol,Name,NumAppearances,Holders,DiffEntries,DiffValue
8604,Nomura Holdings Inc,1,"[('AIIQ', 0.022)]",New,New
3926,Open Door Inc,1,"[('AIIQ', 0.019)]",New,New
6951,Jeol Ltd,1,"[('AIIQ', 0.018)]",New,New
6516,Sanyo Denki Co Ltd,1,"[('AIIQ', 0.017)]",New,New
IPAR,Inter Parfums Inc,1,"[('ALFA', 0.03)]",New,New
CNA,CNA Financial Corp,1,"[('DON', 0.01)]",New,New
7751,Canon Inc,1,"[('DOO', 0.017)]",New,New
FPH.NZ,Fisher & Paykel Healthcare Corp Ltd,1,"[('ENZL', 0.182)]",New,New
AIA.NZ,Auckland International Airport Ltd,1,"[('ENZL', 0.094)]",New,New
A2M.NZ,The a2 Milk Co Ltd,1,"[('ENZL', 0.049)]",New,New
CEN.NZ,Contact Energy Ltd,1,"[('ENZL', 0.048)]",New,New
IFT.NZ,Infratil Ltd,1,"[('ENZL', 0.047)]",New,New
FBU.NZ,Fletcher Building Ltd,1,"[('ENZL', 0.046)]",New,New
RYM.NZ,Ryman Healthcare Ltd,1,"[('ENZL', 0.04)]",New,New
PKO,PKO Bank Polski SA,1,"[('EPOL', 0.105)]",New,New
PZU,Powszechny Zaklad Ubezpieczen SA,1,"[('EPOL', 0.067)]",New,New
LPP,LPP SA,1,"[('EPOL', 0.054)]",New,New
BAP,Credicorp Ltd,1,"[('EPU', 0.227)]",New,New
SCCO,Southern Copper Corp,1,"[('EPU', 0.222)]",New,New
ALICORC1,Alicorp SA,1,"[('EPU', 0.047)]",New,New
HOC.L,Hochschild Mining PLC,1,"[('EPU', 0.039)]",New,New
01208,MMG Ltd,1,"[('EPU', 0.028)]",New,New
HIG,The Hartford Financial Services Group Inc,1,"[('IAK', 0.034)]",New,New
RF,Regions Financial Corp,1,"[('IAT', 0.033)]",New,New
BHF,Brighthouse Financial Inc,1,"[('RFG', 0.023)]",New,New
TDS,Telephone and Data Systems Inc,1,"[('RFV', 0.022)]",New,New
