Bigram,Name,NumAppearances,Holders,DiffEntries,DiffValue
"('3382', '6501')","('Seven & i Holdings Co Ltd', 'Hitachi Ltd')",2,"[('EWJV', 0.036), ('PQIN', 0.005)]",11222,1.0
"('6501', '6702')","('Hitachi Ltd', 'Fujitsu Ltd')",2,"[('INTF', 0.045), ('PQIN', 0.005)]",17148,1.0
"('DAPXX', 'FTIXX')","('Dreyfus Government Secs Cash Mgmt Admin', 'Goldman Sachs FS Treasury Intms Instl')",46,"[('TZA', 1.187), ('YANG', 1.047), ('CHAD', 0.995), ('SPXS', 0.982), ('MEXX', 0.76)]",2,0.0
"('FB', 'JNJ')","('Facebook Inc A', 'Johnson & Johnson')",40,"[('QUAL', 0.078), ('ESG', 0.068), ('SPUS', 0.067), ('TMFC', 0.065), ('QARP', 0.063)]",3,0.0
"('NESN', 'TM')","('Nestle SA', 'Toyota Motor Corp ADR')",33,"[('VYMI', 0.047), ('FLQH', 0.042), ('IQSI', 0.042), ('FIVA', 0.041), ('EFAX', 0.034)]",6,0.0
"('ROG', 'TM')","('Roche Holding AG', 'Toyota Motor Corp ADR')",33,"[('FLQH', 0.043), ('IVLU', 0.038), ('FIVA', 0.036), ('IQSI', 0.036), ('VYMI', 0.035)]",6,0.0
"('005930.KS', '2330.TW')","('Samsung Electronics Co Ltd', 'Taiwan Semiconductor Manufacturing Co Ltd')",32,"[('AIA', 0.233), ('KEMX', 0.175), ('EEMO', 0.172), ('XCEM', 0.171), ('EMXC', 0.162)]",8,0.0
"('AAPL', 'UNH')","('Apple Inc', 'UnitedHealth Group Inc')",30,"[('SCHG', 0.135), ('IQSU', 0.099), ('IVLC', 0.095), ('EFIV', 0.092), ('SNPE', 0.092)]",11,0.0
"('ASML', 'TM')","('ASML Holding NV ADR', 'Toyota Motor Corp ADR')",30,"[('FLQH', 0.044), ('IQSI', 0.038), ('CEFA', 0.036), ('EFAX', 0.03), ('PTIN', 0.03)]",11,0.0
"('005930.KS', '00700')","('Samsung Electronics Co Ltd', 'Tencent Holdings Ltd')",29,"[('AIA', 0.227), ('EEMO', 0.163), ('XSOE', 0.115), ('BKEM', 0.109), ('FDEM', 0.106)]",9,0.0
"('NOVN', 'TM')","('Novartis AG', 'Toyota Motor Corp ADR')",29,"[('IVLU', 0.05), ('FLQH', 0.042), ('VYMI', 0.034), ('FIVA', 0.033), ('BBIN', 0.025)]",9,0.0
"('MC.PA', 'TM')","('LVMH Moet Hennessy Louis Vuitton SE', 'Toyota Motor Corp ADR')",27,"[('RXI', 0.065), ('CEFA', 0.031), ('EFAX', 0.026), ('BBIN', 0.024), ('BKIE', 0.024)]",5,0.0
"('GOOGL', 'UNH')","('Alphabet Inc A', 'UnitedHealth Group Inc')",26,"[('VNSE', 0.095), ('IVLC', 0.079), ('FGRO', 0.074), ('ACIO', 0.061), ('SCHG', 0.06)]",6,0.0
"('AAPL', 'HD')","('Apple Inc', 'The Home Depot Inc')",26,"[('IWY', 0.147), ('IEDI', 0.125), ('SPUS', 0.125), ('QDEF', 0.112), ('RECS', 0.107)]",8,0.0
"('JNJ', 'TSLA')","('Johnson & Johnson', 'Tesla Inc')",24,"[('HLAL', 0.072), ('TMFC', 0.054), ('ESG', 0.052), ('SPUS', 0.05), ('SUSL', 0.05)]",9,0.0
"('JNJ', 'NVDA')","('Johnson & Johnson', 'NVIDIA Corp')",24,"[('VIRS', 0.101), ('QUAL', 0.058), ('WOMN', 0.049), ('SUSL', 0.048), ('USSG', 0.048)]",10,0.0
"('AMZN', 'UNH')","('Amazon.com Inc', 'UnitedHealth Group Inc')",23,"[('CACG', 0.126), ('LRGE', 0.117), ('VNSE', 0.1), ('SCHG', 0.099), ('IVLC', 0.086)]",9,0.0
"('FB', 'UNH')","('Facebook Inc A', 'UnitedHealth Group Inc')",22,"[('VNSE', 0.109), ('CACG', 0.101), ('LRGE', 0.099), ('NACP', 0.065), ('SCHG', 0.065)]",9,0.0
"('GOOGL', 'HD')","('Alphabet Inc A', 'The Home Depot Inc')",22,"[('ESGY', 0.095), ('ESGA', 0.067), ('RECS', 0.065), ('ESG', 0.06), ('GSPY', 0.06)]",8,0.0
"('ADBE', 'GOOGL')","('Adobe Inc', 'Alphabet Inc A')",21,"[('PNQI', 0.12), ('ESGY', 0.102), ('PGRO', 0.102), ('MBCC', 0.086), ('SPQQ', 0.08)]",8,0.0
"('00700', 'BABA')","('Tencent Holdings Ltd', 'Alibaba Group Holding Ltd ADR')",21,"[('GXC', 0.238), ('KWEB', 0.187), ('FDNI', 0.18), ('EWEB', 0.167), ('KESG', 0.162)]",8,0.0
"('01299.HK', 'ASML')","('AIA Group Ltd', 'ASML Holding NV ADR')",21,"[('IMTM', 0.07), ('JIG', 0.064), ('IQLT', 0.063), ('DMXF', 0.047), ('IQSI', 0.034)]",8,0.0
"('CSCO', 'JNJ')","('Cisco Systems Inc', 'Johnson & Johnson')",21,"[('HDV', 0.108), ('FLV', 0.094), ('DURA', 0.082), ('OUSA', 0.08), ('DGRW', 0.072)]",10,0.0
"('FGTXX', 'FTIXX')","('Goldman Sachs FS Government Instl', 'Goldman Sachs FS Treasury Intms Instl')",20,"[('SOXS', 0.669), ('CLDS', 0.653), ('SPXS', 0.571), ('TECS', 0.571), ('TYO', 0.494)]",8,0.0
"('005930.KS', '09988')","('Samsung Electronics Co Ltd', 'Alibaba Group Holding Ltd Ordinary Shares')",19,"[('AIA', 0.222), ('XSOE', 0.115), ('BKEM', 0.104), ('AAXJ', 0.099), ('EEMA', 0.097)]",5,0.0
"('01299.HK', 'NESN')","('AIA Group Ltd', 'Nestle SA')",19,"[('VIGI', 0.073), ('JIG', 0.061), ('IQLT', 0.057), ('IQSI', 0.038), ('EFAX', 0.032)]",8,0.0
"('AZN.L', 'TM')","('AstraZeneca PLC ADR', 'Toyota Motor Corp ADR')",19,"[('VYMI', 0.031), ('IQSI', 0.027), ('EFAX', 0.022), ('JHMD', 0.022), ('PTIN', 0.022)]",8,0.0
"('ADBE', 'AMZN')","('Adobe Inc', 'Amazon.com Inc')",19,"[('PNQI', 0.122), ('LRGE', 0.117), ('PGRO', 0.11), ('ESGY', 0.105), ('NUSI', 0.105)]",9,0.0
