Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
3382,Seven & i Holdings Co Ltd,0.025,"[('EWJV', 0.017), ('EWJE', 0.005), ('PQIN', 0.003)]",140,0.002999999999999999
MRW.L,Morrison (Wm) Supermarkets PLC,0.091,"[('EFAS', 0.027), ('FKU', 0.027), ('UIVM', 0.013), ('WWJD', 0.008), ('IDLV', 0.007)]",67,0.0030000000000000027
6702,Fujitsu Ltd,0.10600000000000001,"[('BLCN', 0.019), ('INTF', 0.019), ('LEGR', 0.014), ('GSJY', 0.013), ('NXTG', 0.013)]",62,0.0030000000000000027
SSYS,Stratasys Ltd,0.011,"[('DTEC', 0.011)]",53,0.0
KIRK,Kirkland's Inc,0.011,"[('DWAS', 0.011)]",53,0.0
CAMT,Camtek Ltd,0.011,"[('DWMC', 0.011)]",53,0.0
CDMO,Avid Bioservices Inc,0.011,"[('DWMC', 0.011)]",53,0.0
HLF,Herbalife Nutrition Ltd,0.011,"[('DWSH', 0.011)]",53,0.0
BLUE,bluebird bio Inc,0.011,"[('DWSH', 0.011)]",53,0.0
CPLE6.SA,Cia Paranaense De Energia Copel Participating Preferred,0.011,"[('FDEM', 0.011)]",53,0.0
TKA,Telekom Austria AG,0.011,"[('FEUZ', 0.011)]",53,0.0
ZBU21.TO,US Treasury Bond Future Sept 21,0.011,"[('IHYF', 0.011)]",53,0.0
MP1.AX,Megaport Ltd,0.011,"[('IRBO', 0.011)]",53,0.0
4901,FUJIFILM Holdings Corp,0.011,"[('RBIN', 0.007), ('JPIN', 0.004)]",53,0.0
NNDM,Nano Dimension Ltd ADR,0.011,"[('KOMP', 0.011)]",53,0.0
09966,Alphamab Oncology Ordinary Shares,0.01,"[('ECNS', 0.01)]",53,0.0
LX,LexinFintech Holdings Ltd DR,0.01,"[('ECNS', 0.01)]",53,0.0
ENLC,EnLink Midstream LLC,0.01,"[('GYLD', 0.01)]",53,0.0
02638.HK,HK Electric Investments and HK Electric Investments Ltd,0.01,"[('IDLV', 0.01)]",53,0.0
VUZI,Vuzix Corporation,0.01,"[('KOMP', 0.01)]",53,0.0
DHT,DHT Holdings Inc,0.01,"[('ROSC', 0.01)]",53,0.0
NBIX,Neurocrine Biosciences Inc,0.01,"[('SFYX', 0.01)]",53,0.0
SSNC,SS&C Technologies Holdings Inc,0.012,"[('USMF', 0.012)]",52,0.0
4974,Takara Bio Inc,0.012,"[('WDNA', 0.012)]",52,0.0
SF,Stifel Financial Corp,0.011,"[('AVUV', 0.007), ('ISCV', 0.004)]",52,0.0
000001,Ping An Bank Co Ltd,0.011,"[('CNYA', 0.011)]",52,0.0
COFPL,Capital One Financial Corp 4.375% PRF PERPETUAL USD 25 - Ser L 1/40th Int,0.011,"[('CVY', 0.011)]",52,0.0
WFCPC,Wells Fargo & Co 4.375% PRF PERPETUAL USD - Class A Ser CC,0.011,"[('CVY', 0.011)]",52,0.0
EURN,Euronav NV,0.011,"[('DDLS', 0.011)]",52,0.0
ZUMZ,Zumiez Inc,0.011,"[('DEEP', 0.011)]",52,0.0
CTRN,Citi Trends Inc,0.011,"[('DEEP', 0.011)]",52,0.0
GNTX,Gentex Corp,0.011,"[('LSLT', 0.011)]",52,0.0
SPK.BC,Solarpack Corp Tecnologica SA,0.011,"[('PBD', 0.011)]",52,0.0
HSBK,Halyk Savings Bank of Kazakhstan JSC GDR,0.011,"[('SDIV', 0.011)]",52,0.0
URBN,Urban Outfitters Inc,0.011,"[('SENT', 0.011)]",52,0.0
EAT,Brinker International Inc,0.011,"[('SENT', 0.011)]",52,0.0
MMS,Maximus Inc,0.011,"[('SMMV', 0.011)]",52,0.0
HTLD,Heartland Express Inc,0.011,"[('XSLV', 0.011)]",52,0.0
CALM,Cal-Maine Foods Inc,0.011,"[('XSLV', 0.011)]",52,0.0
BCC,Boise Cascade Co,0.01,"[('AFSM', 0.01)]",52,0.0
002709,GUANGZHOU TINCI MATERIALS TECHNOLOGY CO LTD Class A,0.01,"[('ASHS', 0.01)]",52,0.0
CERE,Cerevel Therapeutics Holdings Inc Ordinary Shares,0.01,"[('BBC', 0.01)]",52,0.0
