Bigram,Name,NumAppearances,Holders,DiffEntries,DiffValue
"('JPM', 'MO')","('JPMorgan Chase & Co', 'Altria Group Inc')",3,"[('DEW', 0.062), ('DLN', 0.045), ('DTD', 0.04)]",New,New
"('HD', 'MO')","('The Home Depot Inc', 'Altria Group Inc')",2,"[('DLN', 0.04), ('DTD', 0.036)]",New,New
"('ALV.DE', 'FMG.AX')","('Allianz SE', 'Fortescue Metals Group Ltd')",2,"[('DTH', 0.045), ('DOL', 0.033)]",New,New
"('HBAN', 'PNC')","('Huntington Bancshares Inc', 'PNC Financial Services Group Inc')",2,"[('IAT', 0.17), ('KRE', 0.033)]",New,New
"('FRC', 'HBAN')","('First Republic Bank', 'Huntington Bancshares Inc')",2,"[('IAT', 0.09), ('KRE', 0.033)]",New,New
"('HBAN', 'SIVB')","('Huntington Bancshares Inc', 'SVB Financial Group')",2,"[('IAT', 0.08), ('KRE', 0.033)]",New,New
"('ANET', 'CSCO')","('Arista Networks Inc', 'Cisco Systems Inc')",2,"[('IYZ', 0.27), ('IGN', 0.168)]",New,New
"('ANET', 'MSI')","('Arista Networks Inc', 'Motorola Solutions Inc')",2,"[('IGN', 0.173), ('IYZ', 0.093)]",New,New
"('ANET', 'FFIV')","('Arista Networks Inc', 'F5 Networks Inc')",2,"[('IGN', 0.168), ('IYZ', 0.08)]",New,New
"('CSCO', 'FFIV')","('Cisco Systems Inc', 'F5 Networks Inc')",2,"[('IYZ', 0.257), ('IGN', 0.166)]",New,New
"('FFIV', 'MSI')","('F5 Networks Inc', 'Motorola Solutions Inc')",2,"[('IGN', 0.171), ('IYZ', 0.081)]",New,New
"('ATVI', 'ORCL')","('Activision Blizzard Inc', 'Oracle Corp')",2,"[('PSJ', 0.092), ('IGV', 0.087)]",New,New
"('ATVI', 'MSFT')","('Activision Blizzard Inc', 'Microsoft Corp')",2,"[('IGV', 0.115), ('PSJ', 0.096)]",New,New
"('JAZZ', 'JNJ')","('Jazz Pharmaceuticals PLC', 'Johnson & Johnson')",2,"[('IHE', 0.266), ('XPH', 0.09)]",New,New
"('PFE', 'ZTS')","('Pfizer Inc', 'Zoetis Inc Class A')",2,"[('IHE', 0.228), ('XPH', 0.092)]",New,New
"('JAZZ', 'ZTS')","('Jazz Pharmaceuticals PLC', 'Zoetis Inc Class A')",2,"[('XPH', 0.091), ('IHE', 0.09)]",New,New
"('ELAN', 'PFE')","('Elanco Animal Health Inc', 'Pfizer Inc')",2,"[('IHE', 0.227), ('XPH', 0.092)]",New,New
"('ELAN', 'JAZZ')","('Elanco Animal Health Inc', 'Jazz Pharmaceuticals PLC')",2,"[('XPH', 0.091), ('IHE', 0.088)]",New,New
"('CTLT', 'PFE')","('Catalent Inc', 'Pfizer Inc')",2,"[('IHE', 0.226), ('XPH', 0.091)]",New,New
"('CTLT', 'JAZZ')","('Catalent Inc', 'Jazz Pharmaceuticals PLC')",2,"[('XPH', 0.09), ('IHE', 0.087)]",New,New
"('BMY', 'JAZZ')","('Bristol-Myers Squibb Company', 'Jazz Pharmaceuticals PLC')",2,"[('XPH', 0.09), ('IHE', 0.088)]",New,New
"('JAZZ', 'PFE')","('Jazz Pharmaceuticals PLC', 'Pfizer Inc')",2,"[('IHE', 0.222), ('XPH', 0.089)]",New,New
"('JAZZ', 'LLY')","('Jazz Pharmaceuticals PLC', 'Eli Lilly and Co')",2,"[('XPH', 0.091), ('IHE', 0.088)]",New,New
"('SBNY', 'SI')","('Signature Bank', 'Silvergate Capital Corp Class A')",2,"[('KRE', 0.036), ('KBE', 0.029)]",New,New
"('PNC', 'SBNY')","('PNC Financial Services Group Inc', 'Signature Bank')",2,"[('KRE', 0.033), ('KBE', 0.026)]",New,New
"('SBNY', 'SIVB')","('Signature Bank', 'SVB Financial Group')",2,"[('KRE', 0.033), ('KBE', 0.026)]",New,New
"('PNFP', 'SBNY')","('Pinnacle Financial Partners Inc', 'Signature Bank')",2,"[('KRE', 0.033), ('KBE', 0.026)]",New,New
"('FND', 'JCI')","('Floor & Decor Holdings Inc', 'Johnson Controls International PLC')",2,"[('PKB', 0.087), ('XHB', 0.074)]",New,New
"('FND', 'LOW')","('Floor & Decor Holdings Inc', ""Lowe's Companies Inc"")",2,"[('PKB', 0.085), ('XHB', 0.074)]",New,New
"('FND', 'HD')","('Floor & Decor Holdings Inc', 'The Home Depot Inc')",2,"[('PKB', 0.085), ('XHB', 0.074)]",New,New
"('JCI', 'LOW')","('Johnson Controls International PLC', ""Lowe's Companies Inc"")",2,"[('PKB', 0.109), ('XHB', 0.072)]",New,New
"('HD', 'JCI')","('The Home Depot Inc', 'Johnson Controls International PLC')",2,"[('PKB', 0.109), ('XHB', 0.073)]",New,New
"('FANG', 'NVAX')","('Diamondback Energy Inc', 'Novavax Inc')",2,"[('VBR', 0.01), ('VB', 0.006)]",New,New
"('FANG', 'VICI')","('Diamondback Energy Inc', 'VICI Properties Inc Ordinary Shares')",2,"[('VBR', 0.011), ('VB', 0.006)]",New,New
"('FANG', 'IEX')","('Diamondback Energy Inc', 'IDEX Corp')",2,"[('VBR', 0.011), ('VB', 0.006)]",New,New
"('NVAX', 'VICI')","('Novavax Inc', 'VICI Properties Inc Ordinary Shares')",2,"[('VBR', 0.01), ('VB', 0.006)]",New,New
"('IEX', 'NVAX')","('IDEX Corp', 'Novavax Inc')",2,"[('VBR', 0.01), ('VB', 0.006)]",New,New
"('IEX', 'VICI')","('IDEX Corp', 'VICI Properties Inc Ordinary Shares')",2,"[('VBR', 0.011), ('VB', 0.006)]",New,New
"('CNDT', 'TRN')","('Conduent Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('CNDT', 'CVLT')","('Conduent Inc', 'CommVault Systems Inc')",1,"[('ACTV', 0.059)]",New,New
"('CNDT', 'GDOT')","('Conduent Inc', 'Green Dot Corp Class A')",1,"[('ACTV', 0.061)]",New,New
"('CNDT', 'PZZA')","('Conduent Inc', ""Papa John's International Inc"")",1,"[('ACTV', 0.06)]",New,New
"('CNDT', 'MMSI')","('Conduent Inc', 'Merit Medical Systems Inc')",1,"[('ACTV', 0.059)]",New,New
"('CNDT', 'MD')","('Conduent Inc', 'Mednax Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'CNDT')","('Box Inc A', 'Conduent Inc')",1,"[('ACTV', 0.059)]",New,New
"('CNDT', 'INVA')","('Conduent Inc', 'Innoviva Inc')",1,"[('ACTV', 0.059)]",New,New
"('CNDT', 'EVH')","('Conduent Inc', 'Evolent Health Inc A')",1,"[('ACTV', 0.059)]",New,New
"('CVLT', 'TRN')","('CommVault Systems Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('GDOT', 'TRN')","('Green Dot Corp Class A', 'Trinity Industries Inc')",1,"[('ACTV', 0.06)]",New,New
"('PZZA', 'TRN')","(""Papa John's International Inc"", 'Trinity Industries Inc')",1,"[('ACTV', 0.06)]",New,New
"('MMSI', 'TRN')","('Merit Medical Systems Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('MD', 'TRN')","('Mednax Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'TRN')","('Box Inc A', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('INVA', 'TRN')","('Innoviva Inc', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('EVH', 'TRN')","('Evolent Health Inc A', 'Trinity Industries Inc')",1,"[('ACTV', 0.059)]",New,New
"('CVLT', 'GDOT')","('CommVault Systems Inc', 'Green Dot Corp Class A')",1,"[('ACTV', 0.06)]",New,New
"('CVLT', 'PZZA')","('CommVault Systems Inc', ""Papa John's International Inc"")",1,"[('ACTV', 0.06)]",New,New
"('CVLT', 'MMSI')","('CommVault Systems Inc', 'Merit Medical Systems Inc')",1,"[('ACTV', 0.059)]",New,New
"('CVLT', 'MD')","('CommVault Systems Inc', 'Mednax Inc')",1,"[('ACTV', 0.059)]",New,New
"('BOX', 'CVLT')","('Box Inc A', 'CommVault Systems Inc')",1,"[('ACTV', 0.059)]",New,New
