Symbol,Name,SumWeights,Holders
MSFT,Microsoft Corp,12.36999999999999,"[('XLK', 0.204), ('IYW', 0.17), ('FTEC', 0.165), ('VGT', 0.165), ('IETC', 0.157)]"
AAPL,Apple Inc,12.217999999999991,"[('XLK', 0.215), ('VGT', 0.196), ('FTEC', 0.195), ('IYW', 0.178), ('HLAL', 0.161)]"
AMZN,Amazon.com Inc,9.419,"[('ONLN', 0.232), ('XLY', 0.229), ('VCR', 0.228), ('FDIS', 0.227), ('CLIX', 0.22)]"
GOOGL,Alphabet Inc A,8.653999999999995,"[('XLC', 0.115), ('VOX', 0.113), ('FCOM', 0.112), ('FCOM', 0.112), ('VOX', 0.112)]"
IVV,iShares Core S&P 500 ETF,7.234999999999999,"[('SPD', 0.994), ('SPYC', 0.984), ('SPUC', 0.981), ('SPUU', 0.97), ('DYHG', 0.94)]"
AGPXX,Invesco Shrt-Trm Inv Gov&Agcy Instl,6.003,"[('DWSH', 0.949), ('UDN', 0.453), ('DBV', 0.442), ('PDBC', 0.399), ('BSAE', 0.385)]"
CLK0,Crude Oil Apr20,5.998,"[('OILD', 3.0), ('OILU', 2.998)]"
FB,Facebook Inc A,5.9579999999999975,"[('XLC', 0.237), ('VOX', 0.17), ('FCOM', 0.169), ('KNGS', 0.139), ('FNGS', 0.1)]"
QQQ,"Invesco QQQ Trust, Series 1",5.274000000000001,"[('QQD', 0.99), ('QQC', 0.986), ('DWUS', 0.505), ('QPX', 0.39), ('VCAR', 0.371)]"
NVDA,NVIDIA Corp,4.522999999999995,"[('USD', 0.17), ('BOTZ', 0.11), ('FNGS', 0.1), ('SMH', 0.1), ('BIBL', 0.098)]"
TSLA,Tesla Inc,4.469999999999996,"[('VCAR', 0.16), ('IYK', 0.158), ('XLY', 0.135), ('UGE', 0.111), ('ARKQ', 0.108)]"
00700,Tencent Holdings Ltd,3.8700000000000006,"[('FLCH', 0.152), ('MCHI', 0.133), ('GXC', 0.124), ('CXSE', 0.121), ('AIA', 0.117)]"
JNJ,Johnson & Johnson,3.1849999999999974,"[('IHE', 0.224), ('IEIH', 0.094), ('XLV', 0.092), ('FTXH', 0.077), ('FHLC', 0.073)]"
VOO,Vanguard S&P 500 ETF,2.953,"[('OVL', 1.0), ('LFEQ', 0.998), ('OVLH', 0.955)]"
JPM,JPMorgan Chase & Co,2.9489999999999976,"[('XLF', 0.115), ('VFH', 0.095), ('FNCL', 0.094), ('KBWB', 0.081), ('FTXO', 0.08)]"
XTSLA,BlackRock Cash Funds Treasury SL Agency,2.946999999999999,"[('IAUF', 0.717), ('CCRV', 0.242), ('IBHA', 0.202), ('GNMA', 0.2), ('IBDM', 0.187)]"
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,2.905,"[('FLTW', 0.183), ('AIA', 0.123), ('EMSG', 0.109), ('XCEM', 0.104), ('KEMX', 0.101)]"
SPY,SPDR S&P 500,2.8350000000000004,"[('MSTB', 0.926), ('HTUS', 0.642), ('VEGA', 0.367), ('AESR', 0.3), ('GAL', 0.215)]"
TFDXX,BlackRock Liquidity FedFund Instl,2.785,"[('HDGE', 2.785)]"
TLT,iShares 20+ Year Treasury Bond ,2.5220000000000002,"[('RORO', 0.7), ('FLYT', 0.523), ('TMF', 0.487), ('QPT', 0.371), ('TDSA', 0.091)]"
BABA,Alibaba Group Holding Ltd ADR,2.464,"[('ADRE', 0.168), ('KNGS', 0.152), ('ONLN', 0.146), ('CLIX', 0.138), ('GXC', 0.114)]"
XOM,Exxon Mobil Corp,2.391999999999999,"[('XLE', 0.237), ('VDE', 0.22), ('FENY', 0.219), ('ERX', 0.203), ('DIG', 0.18)]"
NESN,Nestle SA,2.340999999999998,"[('FLSW', 0.206), ('EWL', 0.199), ('KXI', 0.091), ('SDGA', 0.056), ('HART', 0.049)]"
BRK.B,Berkshire Hathaway Inc Class B,2.264999999999999,"[('XLF', 0.128), ('ABEQ', 0.09), ('KNGS', 0.09), ('FAS', 0.088), ('DUSA', 0.08)]"
XLK,SPDR Select Sector Fund - Techn,2.259,"[('XLSR', 0.417), ('QPX', 0.303), ('SSUS', 0.277), ('QPT', 0.178), ('MPRO', 0.151)]"
DGCXX,Dreyfus Government Cash Mgmt Instl,2.044,"[('SPDN', 0.802), ('COM', 0.758), ('KORU', 0.288), ('DUSL', 0.078), ('CNBS', 0.061)]"
ROG,Roche Holding AG,2.041999999999998,"[('FLSW', 0.147), ('EWL', 0.142), ('HDEF', 0.056), ('HDAW', 0.055), ('IDHQ', 0.05)]"
09988,Alibaba Group Holding Ltd Ordinary Shares,2.034,"[('MCHI', 0.132), ('FLCH', 0.124), ('AIA', 0.112), ('KALL', 0.099), ('FXI', 0.092)]"
UNH,UnitedHealth Group Inc,1.9659999999999993,"[('IHF', 0.223), ('IEHS', 0.118), ('XLV', 0.08), ('DIA', 0.076), ('DIVO', 0.064)]"
