Bigram,Name,NumAppearances,Holders
"('AAPL', 'MSFT')","('Apple Inc', 'Microsoft Corp')",179,"[('VGT', 0.361), ('FTEC', 0.36), ('IYW', 0.348), ('IXN', 0.329), ('TECL', 0.278)]"
"('GOOGL', 'MSFT')","('Alphabet Inc A', 'Microsoft Corp')",152,"[('IYW', 0.22), ('IETC', 0.206), ('ESGY', 0.196), ('TMFC', 0.18), ('PLAT', 0.176)]"
"('FB', 'GOOGL')","('Facebook Inc A', 'Alphabet Inc A')",149,"[('XLC', 0.352), ('VOX', 0.282), ('FCOM', 0.281), ('IXP', 0.271), ('FNGS', 0.2)]"
"('AMZN', 'MSFT')","('Amazon.com Inc', 'Microsoft Corp')",146,"[('AVDG', 0.25), ('IETC', 0.22), ('IVSG', 0.215), ('IWY', 0.208), ('ESGY', 0.199)]"
"('AAPL', 'AMZN')","('Apple Inc', 'Amazon.com Inc')",141,"[('IEDI', 0.22), ('IWY', 0.214), ('STLG', 0.212), ('MGK', 0.205), ('IOO', 0.201)]"
"('AAPL', 'GOOGL')","('Apple Inc', 'Alphabet Inc A')",139,"[('IYW', 0.229), ('FNGS', 0.2), ('TMFC', 0.194), ('PLAT', 0.177), ('IETC', 0.165)]"
"('AMZN', 'GOOGL')","('Amazon.com Inc', 'Alphabet Inc A')",135,"[('FNGS', 0.2), ('DUSA', 0.186), ('PLAT', 0.17), ('TCHP', 0.166), ('TMFC', 0.165)]"
"('AAPL', 'FB')","('Apple Inc', 'Facebook Inc A')",134,"[('IYW', 0.223), ('FNGS', 0.2), ('IETC', 0.177), ('IWY', 0.175), ('ROM', 0.175)]"
"('FB', 'MSFT')","('Facebook Inc A', 'Microsoft Corp')",133,"[('IETC', 0.218), ('IYW', 0.214), ('IVSG', 0.169), ('IWY', 0.169), ('ROM', 0.169)]"
"('AMZN', 'FB')","('Amazon.com Inc', 'Facebook Inc A')",132,"[('FNGS', 0.2), ('KNGS', 0.178), ('TCHP', 0.171), ('PNQI', 0.158), ('IVSG', 0.156)]"
"('MSFT', 'NVDA')","('Microsoft Corp', 'NVIDIA Corp')",117,"[('IYW', 0.215), ('VGT', 0.208), ('FTEC', 0.207), ('IXN', 0.2), ('IETC', 0.194)]"
"('AAPL', 'NVDA')","('Apple Inc', 'NVIDIA Corp')",113,"[('VGT', 0.238), ('FTEC', 0.237), ('IYW', 0.224), ('IXN', 0.208), ('FNGS', 0.2)]"
"('GOOGL', 'NVDA')","('Alphabet Inc A', 'NVIDIA Corp')",104,"[('FNGS', 0.2), ('WUGI', 0.12), ('FBCG', 0.106), ('TMFC', 0.105), ('PGRO', 0.104)]"
"('GOOGL', 'TSLA')","('Alphabet Inc A', 'Tesla Inc')",95,"[('FNGS', 0.2), ('ARKQ', 0.152), ('FDG', 0.117), ('TMFC', 0.115), ('ESGY', 0.093)]"
"('AAPL', 'TSLA')","('Apple Inc', 'Tesla Inc')",93,"[('HLAL', 0.201), ('FNGS', 0.2), ('SPMO', 0.171), ('IWY', 0.157), ('QYLD', 0.155)]"
"('FB', 'NVDA')","('Facebook Inc A', 'NVIDIA Corp')",92,"[('FNGS', 0.2), ('LRGE', 0.103), ('IETC', 0.098), ('IGM', 0.094), ('MBCC', 0.094)]"
"('MSFT', 'TSLA')","('Microsoft Corp', 'Tesla Inc')",92,"[('SPMO', 0.174), ('ESGY', 0.151), ('IWY', 0.151), ('MGK', 0.144), ('QYLD', 0.142)]"
"('AMZN', 'TSLA')","('Amazon.com Inc', 'Tesla Inc')",92,"[('XLY', 0.364), ('VCR', 0.322), ('FDIS', 0.319), ('WANT', 0.226), ('FNGS', 0.2)]"
"('AMZN', 'NVDA')","('Amazon.com Inc', 'NVIDIA Corp')",92,"[('FNGS', 0.2), ('AVDG', 0.189), ('SPMO', 0.16), ('QYLD', 0.125), ('LRGE', 0.121)]"
"('NVDA', 'TSLA')","('NVIDIA Corp', 'Tesla Inc')",87,"[('FNGS', 0.2), ('SPMO', 0.152), ('IQM', 0.114), ('SFYF', 0.106), ('VEGN', 0.09)]"
"('FB', 'TSLA')","('Facebook Inc A', 'Tesla Inc')",82,"[('FNGS', 0.2), ('FDG', 0.107), ('QYLD', 0.082), ('IWY', 0.08), ('NUSI', 0.08)]"
"('JPM', 'MSFT')","('JPMorgan Chase & Co', 'Microsoft Corp')",80,"[('AVDG', 0.162), ('IOO', 0.139), ('XLG', 0.129), ('IVLC', 0.107), ('OEF', 0.103)]"
"('AAPL', 'JPM')","('Apple Inc', 'JPMorgan Chase & Co')",79,"[('IOO', 0.145), ('XLG', 0.134), ('QDYN', 0.117), ('QDF', 0.113), ('QDEF', 0.111)]"
"('GOOGL', 'JPM')","('Alphabet Inc A', 'JPMorgan Chase & Co')",67,"[('IVLC', 0.081), ('SDGA', 0.077), ('OPPX', 0.075), ('MTUM', 0.072), ('ESG', 0.067)]"
"('MSFT', 'V')","('Microsoft Corp', 'Visa Inc Class A')",66,"[('FTEC', 0.198), ('VGT', 0.197), ('IXN', 0.191), ('IETC', 0.179), ('TECL', 0.161)]"
