Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('AGPXX', 'CLF2.L')","('Invesco Shrt-Trm Inv Gov&Agcy Instl', 'Crude Oil Dec21')",0.339,"[('DBC', 0.339)]",New,New+0.339
"('000270.KS', '005930.KS')","('Kia Corp', 'Samsung Electronics Co Ltd')",0.237,"[('EWY', 0.237)]",New,New+0.237
"('AMXL.MX', 'GAPB.MX')","('America Movil SAB de CV Class L', 'Grupo Aeroportuario del Pacifico SAB de CV Class B')",0.175,"[('EWW', 0.175)]",New,New+0.175
"('AMXL.MX', 'ASURB.MX')","('America Movil SAB de CV Class L', 'Grupo Aeroportuario del Sureste SAB de CV Class B')",0.173,"[('EWW', 0.173)]",New,New+0.173
"('CLF2.L', 'WINZ21.L')","('Crude Oil Dec21', 'Mini Ibovespa Future Dec 21')",0.152,"[('DBC', 0.152)]",New,New+0.152
"('CLF2.L', 'HON22')","('Crude Oil Dec21', 'NY Harbor ULSD Future June 22')",0.149,"[('DBC', 0.149)]",New,New+0.149
"('JPM', 'MO')","('JPMorgan Chase & Co', 'Altria Group Inc')",0.147,"[('DEW', 0.062), ('DLN', 0.045), ('DTD', 0.04)]",New,New+0.147
"('BRNH22', 'CLF2.L')","('Brent Crude Future Jan 22', 'Crude Oil Dec21')",0.146,"[('DBC', 0.146)]",New,New+0.146
"('01833', '02269')","('Ping An Healthcare And Technology Co Ltd Ordinary Shares', 'WuXi Biologics (Cayman) Inc Registered Shs Unitary 144A/Reg S')",0.137,"[('CHIH', 0.137)]",New,New+0.137
"('00285', '02382')","('BYD Electronic (International) Co Ltd', 'Sunny Optical Technology (Group) Co Ltd')",0.137,"[('CHIK', 0.137)]",New,New+0.137
"('GAPB.MX', 'WALMEX.MX')","('Grupo Aeroportuario del Pacifico SAB de CV Class B', 'Wal - Mart de Mexico SAB de CV')",0.125,"[('EWW', 0.125)]",New,New+0.125
"('ENPH', 'ORSTED')","('Enphase Energy Inc', 'Orsted A/S')",0.125,"[('ICLN', 0.125)]",New,New+0.125
"('GAPB.MX', 'GFNORTEO.M')","('Grupo Aeroportuario del Pacifico SAB de CV Class B', 'Grupo Financiero Banorte SAB de CV Class O')",0.123,"[('EWW', 0.123)]",New,New+0.123
"('ASURB.MX', 'WALMEX.MX')","('Grupo Aeroportuario del Sureste SAB de CV Class B', 'Wal - Mart de Mexico SAB de CV')",0.123,"[('EWW', 0.123)]",New,New+0.123
"('FEMSAUBD.M', 'GAPB.MX')","('Fomento Economico Mexicano SAB de CV Units (1 Series B, 4 Series D)', 'Grupo Aeroportuario del Pacifico SAB de CV Class B')",0.121,"[('EWW', 0.121)]",New,New+0.121
"('VWS', 'XEL')","('Vestas Wind Systems A/S', 'Xcel Energy Inc')",0.121,"[('ICLN', 0.121)]",New,New+0.121
"('ASURB.MX', 'GFNORTEO.M')","('Grupo Aeroportuario del Sureste SAB de CV Class B', 'Grupo Financiero Banorte SAB de CV Class O')",0.12,"[('EWW', 0.12)]",New,New+0.12
"('ASURB.MX', 'FEMSAUBD.M')","('Grupo Aeroportuario del Sureste SAB de CV Class B', 'Fomento Economico Mexicano SAB de CV Units (1 Series B, 4 Series D)')",0.118,"[('EWW', 0.118)]",New,New+0.118
"('MRVL', 'TW')","('Marvell Technology Inc', 'Tradeweb Markets Inc')",0.116,"[('FPX', 0.116)]",New,New+0.116
"('CLF2.L', 'CLTL')","('Crude Oil Dec21', 'Invesco Treasury Collateral ETF')",0.114,"[('DBC', 0.114)]",New,New+0.114
"('00285', '01810')","('BYD Electronic (International) Co Ltd', 'Xiaomi Corp Ordinary Shares - Class B')",0.113,"[('CHIK', 0.113)]",New,New+0.113
"('CVNA', 'MRVL')","('Carvana Co Class A', 'Marvell Technology Inc')",0.111,"[('FPX', 0.111)]",New,New+0.111
"('NTLA', 'NVTA')","('Intellia Therapeutics Inc', 'Invitae Corp')",0.109,"[('IDNA', 0.109)]",New,New+0.109
"('AVTR', 'MRVL')","('Avantor Inc', 'Marvell Technology Inc')",0.108,"[('FPX', 0.108)]",New,New+0.108
"('ENPH', 'XEL')","('Enphase Energy Inc', 'Xcel Energy Inc')",0.108,"[('ICLN', 0.108)]",New,New+0.108
"('ENPH', 'NEE')","('Enphase Energy Inc', 'NextEra Energy Inc')",0.107,"[('ICLN', 0.107)]",New,New+0.107
"('ENPH', 'IBE.BC')","('Enphase Energy Inc', 'Iberdrola SA')",0.106,"[('ICLN', 0.106)]",New,New+0.106
"('ORSTED', 'PLUG')","('Orsted A/S', 'Plug Power Inc')",0.106,"[('ICLN', 0.106)]",New,New+0.106
"('ENEL.MI', 'ENPH')","('Enel SpA', 'Enphase Energy Inc')",0.105,"[('ICLN', 0.105)]",New,New+0.105
"('MRK.DE', 'NTLA')","('Merck KGaA', 'Intellia Therapeutics Inc')",0.105,"[('IDNA', 0.105)]",New,New+0.105
"('SNAP', 'TW')","('Snap Inc Class A', 'Tradeweb Markets Inc')",0.104,"[('FPX', 0.104)]",New,New+0.104
"('06160', 'NTLA')","('BeiGene Ltd Ordinary Shares', 'Intellia Therapeutics Inc')",0.102,"[('IDNA', 0.102)]",New,New+0.102
"('GMAB', 'NTLA')","('Genmab A/S', 'Intellia Therapeutics Inc')",0.102,"[('IDNA', 0.102)]",New,New+0.102
"('NTLA', 'SGEN')","('Intellia Therapeutics Inc', 'Seagen Inc Ordinary Shares')",0.102,"[('IDNA', 0.102)]",New,New+0.102
"('ORSTED', 'XEL')","('Orsted A/S', 'Xcel Energy Inc')",0.1,"[('ICLN', 0.1)]",New,New+0.1
"('CVNA', 'SNAP')","('Carvana Co Class A', 'Snap Inc Class A')",0.099,"[('FPX', 0.099)]",New,New+0.099
"('ORSTED', 'SEDG')","('Orsted A/S', 'SolarEdge Technologies Inc')",0.098,"[('ICLN', 0.098)]",New,New+0.098
"('CRSP', 'NVTA')","('CRISPR Therapeutics AG', 'Invitae Corp')",0.098,"[('IDNA', 0.098)]",New,New+0.098
"('ENPH', 'SSE.L')","('Enphase Energy Inc', 'SSE PLC')",0.097,"[('ICLN', 0.097)]",New,New+0.097
"('7974', 'ASML')","('Nintendo Co Ltd', 'ASML Holding NV ADR')",0.097,"[('IDMO', 0.097)]",New,New+0.097
"('CRSP', 'MRNA')","('CRISPR Therapeutics AG', 'Moderna Inc')",0.097,"[('IDNA', 0.097)]",New,New+0.097
"('AVTR', 'SNAP')","('Avantor Inc', 'Snap Inc Class A')",0.095,"[('FPX', 0.095)]",New,New+0.095
"('CRSP', 'MRK.DE')","('CRISPR Therapeutics AG', 'Merck KGaA')",0.094,"[('IDNA', 0.094)]",New,New+0.094
"('BAC', 'CVS')","('Bank of America Corp', 'CVS Health Corp')",0.094,"[('SPVU', 0.094)]",New,New+0.094
"('2330.TW', 'RIO.AX')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Rio Tinto Ltd')",0.092,"[('DNL', 0.092)]",New,New+0.092
"('AVTR', 'STLD')","('Avantor Inc', 'Steel Dynamics Inc')",0.092,"[('PYZ', 0.092)]",New,New+0.092
"('06160', 'CRSP')","('BeiGene Ltd Ordinary Shares', 'CRISPR Therapeutics AG')",0.091,"[('IDNA', 0.091)]",New,New+0.091
"('CRSP', 'GMAB')","('CRISPR Therapeutics AG', 'Genmab A/S')",0.091,"[('IDNA', 0.091)]",New,New+0.091
"('CRSP', 'SGEN')","('CRISPR Therapeutics AG', 'Seagen Inc Ordinary Shares')",0.091,"[('IDNA', 0.091)]",New,New+0.091
"('RIO.AX', 'ULVR.L')","('Rio Tinto Ltd', 'Unilever PLC')",0.09,"[('DNL', 0.09)]",New,New+0.09
"('2330.TW', 'ULVR.L')","('Taiwan Semiconductor Manufacturing Co Ltd', 'Unilever PLC')",0.09,"[('DNL', 0.09)]",New,New+0.09
"('01833', 'BGNE')","('Ping An Healthcare And Technology Co Ltd Ordinary Shares', 'BeiGene Ltd ADR')",0.089,"[('CHIH', 0.089)]",New,New+0.089
"('NEE', 'PLUG')","('NextEra Energy Inc', 'Plug Power Inc')",0.089,"[('ICLN', 0.089)]",New,New+0.089
"('PLUG', 'XEL')","('Plug Power Inc', 'Xcel Energy Inc')",0.089,"[('ICLN', 0.089)]",New,New+0.089
"('ASML', 'RIO.AX')","('ASML Holding NV ADR', 'Rio Tinto Ltd')",0.088,"[('DNL', 0.088)]",New,New+0.088
"('IBE.BC', 'PLUG')","('Iberdrola SA', 'Plug Power Inc')",0.088,"[('ICLN', 0.088)]",New,New+0.088
"('MRNA', 'NVTA')","('Moderna Inc', 'Invitae Corp')",0.088,"[('IDNA', 0.088)]",New,New+0.088
"('ARNC', 'AVTR')","('Arconic Corp Ordinary Shares', 'Avantor Inc')",0.088,"[('PYZ', 0.088)]",New,New+0.088
"('ENEL.MI', 'PLUG')","('Enel SpA', 'Plug Power Inc')",0.087,"[('ICLN', 0.087)]",New,New+0.087
"('AVTR', 'CC')","('Avantor Inc', 'The Chemours Co')",0.087,"[('PYZ', 0.087)]",New,New+0.087
"('AVTR', 'UFS')","('Avantor Inc', 'Domtar Corp')",0.087,"[('PYZ', 0.087)]",New,New+0.087
"('OLN', 'STLD')","('Olin Corp', 'Steel Dynamics Inc')",0.087,"[('PYZ', 0.087)]",New,New+0.087
"('TW', 'UBER')","('Tradeweb Markets Inc', 'Uber Technologies Inc')",0.086,"[('FPX', 0.086)]",New,New+0.086
"('AVY', 'STLD')","('Avery Dennison Corp', 'Steel Dynamics Inc')",0.086,"[('PYZ', 0.086)]",New,New+0.086
"('STLD', 'X')","('Steel Dynamics Inc', 'United States Steel Corp')",0.086,"[('PYZ', 0.086)]",New,New+0.086
"('ARNC', 'STLD')","('Arconic Corp Ordinary Shares', 'Steel Dynamics Inc')",0.086,"[('PYZ', 0.086)]",New,New+0.086
"('MRK.DE', 'NVTA')","('Merck KGaA', 'Invitae Corp')",0.085,"[('IDNA', 0.085)]",New,New+0.085
"('CC', 'STLD')","('The Chemours Co', 'Steel Dynamics Inc')",0.085,"[('PYZ', 0.085)]",New,New+0.085
"('NOVO B', 'RIO.AX')","('Novo Nordisk A/S B', 'Rio Tinto Ltd')",0.084,"[('DNL', 0.084)]",New,New+0.084
"('NVTA', 'SRPT')","('Invitae Corp', 'Sarepta Therapeutics Inc')",0.084,"[('IDNA', 0.084)]",New,New+0.084
"('MRK.DE', 'MRNA')","('Merck KGaA', 'Moderna Inc')",0.084,"[('IDNA', 0.084)]",New,New+0.084
"('FATE', 'NVTA')","('Fate Therapeutics Inc', 'Invitae Corp')",0.084,"[('IDNA', 0.084)]",New,New+0.084
"('RHHBY', 'SMSN.KS')","('Roche Holding AG ADR', 'Samsung Electronics Co Ltd GDR')",0.083,"[('DSTX', 0.083)]",New,New+0.083
"('MRNA', 'SRPT')","('Moderna Inc', 'Sarepta Therapeutics Inc')",0.083,"[('IDNA', 0.083)]",New,New+0.083
"('FATE', 'MRNA')","('Fate Therapeutics Inc', 'Moderna Inc')",0.083,"[('IDNA', 0.083)]",New,New+0.083
"('ARNC', 'OLN')","('Arconic Corp Ordinary Shares', 'Olin Corp')",0.083,"[('PYZ', 0.083)]",New,New+0.083
"('01833', 'ZLAB')","('Ping An Healthcare And Technology Co Ltd Ordinary Shares', 'Zai Lab Ltd ADR Repr 1 Shs')",0.082,"[('CHIH', 0.082)]",New,New+0.082
"('06160', 'NVTA')","('BeiGene Ltd Ordinary Shares', 'Invitae Corp')",0.082,"[('IDNA', 0.082)]",New,New+0.082
"('GMAB', 'NVTA')","('Genmab A/S', 'Invitae Corp')",0.082,"[('IDNA', 0.082)]",New,New+0.082
"('NVTA', 'SGEN')","('Invitae Corp', 'Seagen Inc Ordinary Shares')",0.082,"[('IDNA', 0.082)]",New,New+0.082
"('CC', 'OLN')","('The Chemours Co', 'Olin Corp')",0.082,"[('PYZ', 0.082)]",New,New+0.082
"('ARNC', 'X')","('Arconic Corp Ordinary Shares', 'United States Steel Corp')",0.082,"[('PYZ', 0.082)]",New,New+0.082
"('00285', '00968')","('BYD Electronic (International) Co Ltd', 'Xinyi Solar Holdings Ltd')",0.081,"[('CHIK', 0.081)]",New,New+0.081
"('CVNA', 'UBER')","('Carvana Co Class A', 'Uber Technologies Inc')",0.081,"[('FPX', 0.081)]",New,New+0.081
"('SEDG', 'XEL')","('SolarEdge Technologies Inc', 'Xcel Energy Inc')",0.081,"[('ICLN', 0.081)]",New,New+0.081
"('IBE.BC', 'XEL')","('Iberdrola SA', 'Xcel Energy Inc')",0.081,"[('ICLN', 0.081)]",New,New+0.081
"('06160', 'MRNA')","('BeiGene Ltd Ordinary Shares', 'Moderna Inc')",0.081,"[('IDNA', 0.081)]",New,New+0.081
"('GMAB', 'MRNA')","('Genmab A/S', 'Moderna Inc')",0.081,"[('IDNA', 0.081)]",New,New+0.081
"('GM', 'GOOGL')","('General Motors Co', 'Alphabet Inc A')",0.081,"[('IDRV', 0.081)]",New,New+0.081
"('AVY', 'UFS')","('Avery Dennison Corp', 'Domtar Corp')",0.081,"[('PYZ', 0.081)]",New,New+0.081
"('ARNC', 'AVY')","('Arconic Corp Ordinary Shares', 'Avery Dennison Corp')",0.081,"[('PYZ', 0.081)]",New,New+0.081
"('CC', 'X')","('The Chemours Co', 'United States Steel Corp')",0.081,"[('PYZ', 0.081)]",New,New+0.081
"('UFS', 'X')","('Domtar Corp', 'United States Steel Corp')",0.081,"[('PYZ', 0.081)]",New,New+0.081
"('01093', '01833')","('CSPC Pharmaceutical Group Ltd', 'Ping An Healthcare And Technology Co Ltd Ordinary Shares')",0.08,"[('CHIH', 0.08)]",New,New+0.08
"('NEE', 'SEDG')","('NextEra Energy Inc', 'SolarEdge Technologies Inc')",0.08,"[('ICLN', 0.08)]",New,New+0.08
"('ENEL.MI', 'XEL')","('Enel SpA', 'Xcel Energy Inc')",0.08,"[('ICLN', 0.08)]",New,New+0.08
"('FATE', 'SRPT')","('Fate Therapeutics Inc', 'Sarepta Therapeutics Inc')",0.08,"[('IDNA', 0.08)]",New,New+0.08
"('MRK.DE', 'SRPT')","('Merck KGaA', 'Sarepta Therapeutics Inc')",0.08,"[('IDNA', 0.08)]",New,New+0.08
"('FATE', 'MRK.DE')","('Fate Therapeutics Inc', 'Merck KGaA')",0.08,"[('IDNA', 0.08)]",New,New+0.08
"('AVY', 'CC')","('Avery Dennison Corp', 'The Chemours Co')",0.08,"[('PYZ', 0.08)]",New,New+0.08
"('CC', 'UFS')","('The Chemours Co', 'Domtar Corp')",0.08,"[('PYZ', 0.08)]",New,New+0.08
"('ARNC', 'CC')","('Arconic Corp Ordinary Shares', 'The Chemours Co')",0.08,"[('PYZ', 0.08)]",New,New+0.08
"('AA', 'ARNC')","('Alcoa Corp', 'Arconic Corp Ordinary Shares')",0.08,"[('PYZ', 0.08)]",New,New+0.08
"('000270.KS', '000660.KS')","('Kia Corp', 'SK Hynix Inc')",0.079,"[('EWY', 0.079)]",New,New+0.079
"('PLUG', 'SSE.L')","('Plug Power Inc', 'SSE PLC')",0.079,"[('ICLN', 0.079)]",New,New+0.079
"('IBE.BC', 'SEDG')","('Iberdrola SA', 'SolarEdge Technologies Inc')",0.079,"[('ICLN', 0.079)]",New,New+0.079
"('ENEL.MI', 'SEDG')","('Enel SpA', 'SolarEdge Technologies Inc')",0.079,"[('ICLN', 0.079)]",New,New+0.079
"('ARNC', 'FCX')","('Arconic Corp Ordinary Shares', 'Freeport-McMoRan Inc')",0.079,"[('PYZ', 0.079)]",New,New+0.079
"('AA', 'CC')","('Alcoa Corp', 'The Chemours Co')",0.079,"[('PYZ', 0.079)]",New,New+0.079
"('AA', 'UFS')","('Alcoa Corp', 'Domtar Corp')",0.079,"[('PYZ', 0.079)]",New,New+0.079
"('BRK.B', 'GM')","('Berkshire Hathaway Inc Class B', 'General Motors Co')",0.079,"[('SPVU', 0.079)]",New,New+0.079
"('C', 'CVS')","('Citigroup Inc', 'CVS Health Corp')",0.079,"[('SPVU', 0.079)]",New,New+0.079
"('8035', 'RIO.AX')","('Tokyo Electron Ltd', 'Rio Tinto Ltd')",0.078,"[('DNL', 0.078)]",New,New+0.078
"('REL.L', 'RIO.AX')","('RELX PLC', 'Rio Tinto Ltd')",0.078,"[('DNL', 0.078)]",New,New+0.078
"('2330.TW', 'REL.L')","('Taiwan Semiconductor Manufacturing Co Ltd', 'RELX PLC')",0.078,"[('DNL', 0.078)]",New,New+0.078
"('ALV.DE', 'FMG.AX')","('Allianz SE', 'Fortescue Metals Group Ltd')",0.078,"[('DTH', 0.045), ('DOL', 0.033)]",New,New+0.078
"('SGEN', 'SRPT')","('Seagen Inc Ordinary Shares', 'Sarepta Therapeutics Inc')",0.078,"[('IDNA', 0.078)]",New,New+0.078
"('06160', 'FATE')","('BeiGene Ltd Ordinary Shares', 'Fate Therapeutics Inc')",0.078,"[('IDNA', 0.078)]",New,New+0.078
"('06160', 'MRK.DE')","('BeiGene Ltd Ordinary Shares', 'Merck KGaA')",0.078,"[('IDNA', 0.078)]",New,New+0.078
"('FATE', 'GMAB')","('Fate Therapeutics Inc', 'Genmab A/S')",0.078,"[('IDNA', 0.078)]",New,New+0.078
"('GMAB', 'MRK.DE')","('Genmab A/S', 'Merck KGaA')",0.078,"[('IDNA', 0.078)]",New,New+0.078
"('FATE', 'SGEN')","('Fate Therapeutics Inc', 'Seagen Inc Ordinary Shares')",0.078,"[('IDNA', 0.078)]",New,New+0.078
"('MRK.DE', 'SGEN')","('Merck KGaA', 'Seagen Inc Ordinary Shares')",0.078,"[('IDNA', 0.078)]",New,New+0.078
"('GM', 'NVDA')","('General Motors Co', 'NVIDIA Corp')",0.078,"[('IDRV', 0.078)]",New,New+0.078
"('CC', 'FCX')","('The Chemours Co', 'Freeport-McMoRan Inc')",0.078,"[('PYZ', 0.078)]",New,New+0.078
"('FCX', 'UFS')","('Freeport-McMoRan Inc', 'Domtar Corp')",0.078,"[('PYZ', 0.078)]",New,New+0.078
"('01801', '01833')","('Innovent Biologics Inc', 'Ping An Healthcare And Technology Co Ltd Ordinary Shares')",0.077,"[('CHIH', 0.077)]",New,New+0.077
"('AVTR', 'UBER')","('Avantor Inc', 'Uber Technologies Inc')",0.077,"[('FPX', 0.077)]",New,New+0.077
"('06160', 'SRPT')","('BeiGene Ltd Ordinary Shares', 'Sarepta Therapeutics Inc')",0.077,"[('IDNA', 0.077)]",New,New+0.077
"('GMAB', 'SRPT')","('Genmab A/S', 'Sarepta Therapeutics Inc')",0.077,"[('IDNA', 0.077)]",New,New+0.077
"('ANTM', 'BRK.B')","('Anthem Inc', 'Berkshire Hathaway Inc Class B')",0.077,"[('SPVU', 0.077)]",New,New+0.077
"('HD', 'MO')","('The Home Depot Inc', 'Altria Group Inc')",0.076,"[('DLN', 0.04), ('DTD', 0.036)]",New,New+0.076
"('REL.L', 'ULVR.L')","('RELX PLC', 'Unilever PLC')",0.076,"[('DNL', 0.076)]",New,New+0.076
"('BABA', 'RHHBY')","('Alibaba Group Holding Ltd ADR', 'Roche Holding AG ADR')",0.076,"[('DSTX', 0.076)]",New,New+0.076
"('LIN.L', 'TTE.PA')","('Linde PLC', 'TotalEnergies SE')",0.076,"[('FEZ', 0.076)]",New,New+0.076
