Symbol,Name,NumAppearances,Holders
GOOGL,Alphabet Inc A,275,"[('XLC', 0.115), ('FCOM', 0.112), ('FCOM', 0.112), ('XLC', 0.112), ('DUSA', 0.108)]"
MSFT,Microsoft Corp,217,"[('XLK', 0.204), ('FTEC', 0.165), ('IETC', 0.157), ('TECL', 0.135), ('ESGY', 0.127)]"
AAPL,Apple Inc,208,"[('XLK', 0.215), ('FTEC', 0.195), ('HLAL', 0.161), ('TECL', 0.142), ('STLG', 0.134)]"
AMZN,Amazon.com Inc,172,"[('ONLN', 0.232), ('XLY', 0.229), ('FDIS', 0.227), ('CLIX', 0.22), ('UCC', 0.191)]"
FB,Facebook Inc A,167,"[('XLC', 0.237), ('FCOM', 0.169), ('KNGS', 0.139), ('FNGS', 0.1), ('AMOM', 0.081)]"
NVDA,NVIDIA Corp,157,"[('USD', 0.17), ('BOTZ', 0.11), ('FNGS', 0.1), ('SMH', 0.1), ('BIBL', 0.098)]"
TSLA,Tesla Inc,129,"[('VCAR', 0.16), ('XLY', 0.135), ('UGE', 0.111), ('ARKQ', 0.108), ('ARKW', 0.1)]"
JPM,JPMorgan Chase & Co,111,"[('XLF', 0.115), ('FNCL', 0.094), ('KBWB', 0.081), ('FTXO', 0.08), ('FAS', 0.079)]"
JNJ,Johnson & Johnson,102,"[('IHE', 0.224), ('IEIH', 0.094), ('XLV', 0.092), ('FTXH', 0.077), ('FHLC', 0.073)]"
BRK.B,Berkshire Hathaway Inc Class B,84,"[('XLF', 0.128), ('ABEQ', 0.09), ('KNGS', 0.09), ('FAS', 0.088), ('DUSA', 0.08)]"
ROG,Roche Holding AG,81,"[('FLSW', 0.147), ('HDEF', 0.056), ('HDAW', 0.055), ('IDHQ', 0.05), ('EUDG', 0.044)]"
V,Visa Inc Class A,75,"[('IPAY', 0.058), ('DIVO', 0.055), ('SPHQ', 0.046), ('DIA', 0.044), ('JOYY', 0.044)]"
NESN,Nestle SA,75,"[('FLSW', 0.206), ('KXI', 0.091), ('SDGA', 0.056), ('HART', 0.049), ('IDHQ', 0.049)]"
ASML,ASML Holding NV ADR,74,"[('FEZ', 0.081), ('IDMO', 0.079), ('HEDJ', 0.06), ('SMH', 0.057), ('AADR', 0.055)]"
XTSLA,BlackRock Cash Funds Treasury SL Agency,73,"[('IAUF', 0.717), ('CCRV', 0.242), ('IBHA', 0.202), ('GNMA', 0.2), ('IBDM', 0.187)]"
00700,Tencent Holdings Ltd,69,"[('FLCH', 0.152), ('MCHI', 0.133), ('GXC', 0.124), ('CXSE', 0.121), ('AIA', 0.117)]"
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,62,"[('EWT', 0.216), ('FLTW', 0.183), ('AIA', 0.123), ('EMSG', 0.109), ('XCEM', 0.104)]"
VZ,Verizon Communications Inc,58,"[('LTL', 0.167), ('HDV', 0.064), ('DJD', 0.062), ('RDIV', 0.049), ('GBLO', 0.047)]"
NOVN,Novartis AG,58,"[('FLSW', 0.113), ('HDEF', 0.051), ('HART', 0.05), ('HDAW', 0.044), ('DTH', 0.042)]"
UNH,UnitedHealth Group Inc,57,"[('IHF', 0.223), ('IEHS', 0.118), ('XLV', 0.08), ('DIA', 0.076), ('DIVO', 0.064)]"
ADBE,Adobe Inc,57,"[('IGV', 0.088), ('SXQG', 0.056), ('AMOM', 0.048), ('MBCC', 0.043), ('PNQI', 0.043)]"
FTIXX,Goldman Sachs FS Treasury Intms Instl,57,"[('WEBS', 0.706), ('CLDS', 0.621), ('HIBS', 0.612), ('LABD', 0.604), ('FAZ', 0.592)]"
HD,The Home Depot Inc,56,"[('XLY', 0.087), ('IEDI', 0.075), ('FDIS', 0.063), ('DIA', 0.061), ('AMOM', 0.055)]"
PYPL,PayPal Holdings Inc,54,"[('PNQI', 0.083), ('FINX', 0.065), ('IPAY', 0.064), ('SHE', 0.064), ('LIV', 0.051)]"
