Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
MAERSK B,A. P. Moller Maersk A/S B,0.30000000000000004,"[('SEA', 0.19), ('EDEN', 0.033), ('IMOM', 0.021), ('IVAL', 0.021), ('ICOW', 0.02)]",604,0.19000000000000003
9104,Mitsui O.S.K. Lines Ltd,0.135,"[('SEA', 0.078), ('FJP', 0.027), ('FDT', 0.009), ('DFJ', 0.006), ('DXJS', 0.006)]",875,0.07800000000000001
9101,Nippon Yusen Kabushiki Kaisha,0.175,"[('SEA', 0.074), ('FJP', 0.026), ('IMOM', 0.025), ('DFJ', 0.015), ('DXJS', 0.015)]",416,0.07399999999999998
EURN,Euronav NV,0.074,"[('SEA', 0.055), ('DDLS', 0.01), ('DLS', 0.009)]",1520,0.05499999999999999
01308.HK,SITC International Holdings Co Ltd,0.07400000000000001,"[('SEA', 0.049), ('IMOM', 0.025)]",1295,0.04900000000000001
MATX,Matson Inc,0.06,"[('SEA', 0.048), ('SIXS', 0.012)]",1565,0.048
01919,COSCO SHIPPING Holdings Co Ltd Class H,0.133,"[('CHII', 0.042), ('SEA', 0.034), ('FCA', 0.032), ('ECOW', 0.025)]",269,0.034
CPE,Callon Petroleum Co,0.073,"[('PSCE', 0.037), ('XOP', 0.03), ('ISMD', 0.006)]",651,0.03
SM,SM Energy Co,0.305,"[('FTXN', 0.086), ('EPHE', 0.072), ('PSCE', 0.046), ('PXI', 0.043), ('XOP', 0.029)]",39,0.029000000000000026
FANG,Diamondback Energy Inc,0.23500000000000001,"[('RYE', 0.046), ('FCG', 0.043), ('IEO', 0.037), ('PXI', 0.034), ('XOP', 0.028)]",56,0.027999999999999997
OXY,Occidental Petroleum Corp,0.223,"[('FCG', 0.048), ('RYE', 0.047), ('FTHI', 0.03), ('FTLB', 0.03), ('XOP', 0.028)]",68,0.027999999999999997
CLR,Continental Resources Inc,0.171,"[('PXE', 0.064), ('FXN', 0.062), ('XOP', 0.027), ('GUSH', 0.015), ('PRFZ', 0.003)]",107,0.026999999999999996
AR,Antero Resources Corp,0.154,"[('PXI', 0.041), ('PXE', 0.031), ('VAMO', 0.029), ('XOP', 0.027), ('GUSH', 0.013)]",135,0.026999999999999996
COP,ConocoPhillips,1.0070000000000001,"[('IEO', 0.173), ('IYE', 0.072), ('VDE', 0.062), ('FENY', 0.061), ('DIG', 0.06)]",8,0.026000000000000023
XEC,Cimarex Energy Co,0.028999999999999998,"[('XOP', 0.026), ('BKSE', 0.003)]",861,0.026
MRO,Marathon Oil Corp,0.167,"[('FXN', 0.054), ('FCG', 0.04), ('FTXN', 0.039), ('XOP', 0.026), ('VUSE', 0.008)]",118,0.025999999999999995
XOM,Exxon Mobil Corp,2.5769999999999995,"[('XLE', 0.237), ('IYE', 0.236), ('VDE', 0.22), ('FENY', 0.219), ('DIG', 0.184)]",0,0.0259999999999998
CLK0,Crude Oil Apr20,5.998,"[('OILD', 3.0), ('OILU', 2.998)]",0,0.0
AGPXX,Invesco Shrt-Trm Inv Gov&Agcy Instl,4.4319999999999995,"[('DWSH', 0.949), ('DBV', 0.442), ('UDN', 0.387), ('UUP', 0.295), ('DBE', 0.271)]",2,0.0
QQQ,"Invesco QQQ Trust, Series 1",4.142,"[('QQD', 0.994), ('QQC', 0.958), ('QPX', 0.39), ('VCAR', 0.371), ('VFIN', 0.352)]",1,0.0
JNJ,Johnson & Johnson,3.0469999999999975,"[('IHE', 0.227), ('IEIH', 0.093), ('XLV', 0.092), ('IYH', 0.083), ('FTXH', 0.077)]",0,0.0
00700,Tencent Holdings Ltd,2.9539999999999993,"[('MCHI', 0.133), ('GXC', 0.124), ('CXSE', 0.119), ('AIA', 0.117), ('KWEB', 0.106)]",0,0.0
2330.TW,Taiwan Semiconductor Manufacturing Co Ltd,2.5819999999999994,"[('EWT', 0.23), ('AIA', 0.123), ('EMSG', 0.109), ('XCEM', 0.104), ('KEMX', 0.101)]",0,0.0
TFDXX,BlackRock Liquidity FedFund Instl,2.328,"[('HDGE', 2.328)]",1,0.0
ASML,ASML Holding NV ADR,1.9839999999999987,"[('EWN', 0.24), ('IDMO', 0.089), ('FEZ', 0.081), ('IMTM', 0.064), ('HEDJ', 0.06)]",2,0.0
CVX,Chevron Corp,1.98,"[('XLE', 0.2), ('IYE', 0.179), ('VDE', 0.166), ('FENY', 0.165), ('ERX', 0.163)]",2,0.0
VOO,Vanguard S&P 500 ETF,1.955,"[('OVL', 1.0), ('OVLH', 0.955)]",1,0.0
UNH,UnitedHealth Group Inc,1.9249999999999998,"[('IHF', 0.228), ('IEHS', 0.116), ('XLV', 0.08), ('DIA', 0.077), ('IYH', 0.072)]",1,0.0
VCSH,Vanguard Short-Term Corporate B,1.9149999999999998,"[('OVT', 1.0), ('QED', 0.332), ('VTC', 0.327), ('QAI', 0.126), ('ADFI', 0.099)]",1,0.0
PG,Procter & Gamble Co,1.799,"[('XLP', 0.155), ('VDC', 0.137), ('FSTA', 0.136), ('IYK', 0.104), ('KXI', 0.087)]",1,0.0
HD,The Home Depot Inc,1.7710000000000001,"[('RTH', 0.116), ('XLY', 0.087), ('IEDI', 0.074), ('IYC', 0.074), ('FDIS', 0.063)]",1,0.0
VZ,Verizon Communications Inc,1.7699999999999994,"[('IYZ', 0.213), ('LTL', 0.167), ('FDL', 0.071), ('HDV', 0.063), ('DJD', 0.061)]",1,0.0
