Bigram,Name,NumAppearances,Holders,DiffEntries,DiffValue
"('COST', 'V')","('Costco Wholesale Corp', 'Visa Inc Class A')",1,"[('ACVF', 0.032)]",New,New+1
"('DG', 'UNH')","('Dollar General Corp', 'UnitedHealth Group Inc')",1,"[('ADME', 0.038)]",New,New+1
"('DG', 'LRCX')","('Dollar General Corp', 'Lam Research Corp')",1,"[('ADME', 0.034)]",New,New+1
"('DG', 'V')","('Dollar General Corp', 'Visa Inc Class A')",1,"[('ADME', 0.036)]",New,New+1
"('DG', 'FB')","('Dollar General Corp', 'Facebook Inc A')",1,"[('ADME', 0.04)]",New,New+1
"('AAPL', 'DG')","('Apple Inc', 'Dollar General Corp')",1,"[('ADME', 0.077)]",New,New+1
"('DG', 'JPM')","('Dollar General Corp', 'JPMorgan Chase & Co')",1,"[('ADME', 0.035)]",New,New+1
"('FGXXX', 'MDT')","('First American Government Obligs X', 'Medtronic PLC')",1,"[('AIIQ', 0.036)]",New,New+1
"('HZNP', 'MDT')","('Horizon Therapeutics PLC', 'Medtronic PLC')",1,"[('AIIQ', 0.04)]",New,New+1
"('6516', 'MDT')","('Sanyo Denki Co Ltd', 'Medtronic PLC')",1,"[('AIIQ', 0.035)]",New,New+1
"('6951', 'MDT')","('Jeol Ltd', 'Medtronic PLC')",1,"[('AIIQ', 0.04)]",New,New+1
"('MDT', 'WIX')","('Medtronic PLC', 'Wix.com Ltd')",1,"[('AIIQ', 0.056)]",New,New+1
"('CYBR', 'MDT')","('CyberArk Software Ltd', 'Medtronic PLC')",1,"[('AIIQ', 0.042)]",New,New+1
"('CRSP', 'MDT')","('CRISPR Therapeutics AG', 'Medtronic PLC')",1,"[('AIIQ', 0.065)]",New,New+1
"('MDT', 'TEAM')","('Medtronic PLC', 'Atlassian Corporation PLC A')",1,"[('AIIQ', 0.069)]",New,New+1
"('MDT', 'SPOT')","('Medtronic PLC', 'Spotify Technology SA')",1,"[('AIIQ', 0.066)]",New,New+1
"('FGXXX', 'HZNP')","('First American Government Obligs X', 'Horizon Therapeutics PLC')",1,"[('AIIQ', 0.04)]",New,New+1
"('6516', 'FGXXX')","('Sanyo Denki Co Ltd', 'First American Government Obligs X')",1,"[('AIIQ', 0.035)]",New,New+1
"('6951', 'FGXXX')","('Jeol Ltd', 'First American Government Obligs X')",1,"[('AIIQ', 0.039)]",New,New+1
"('FGXXX', 'WIX')","('First American Government Obligs X', 'Wix.com Ltd')",1,"[('AIIQ', 0.056)]",New,New+1
"('CYBR', 'FGXXX')","('CyberArk Software Ltd', 'First American Government Obligs X')",1,"[('AIIQ', 0.041)]",New,New+1
"('CRSP', 'FGXXX')","('CRISPR Therapeutics AG', 'First American Government Obligs X')",1,"[('AIIQ', 0.064)]",New,New+1
"('FGXXX', 'TEAM')","('First American Government Obligs X', 'Atlassian Corporation PLC A')",1,"[('AIIQ', 0.069)]",New,New+1
"('FGXXX', 'SPOT')","('First American Government Obligs X', 'Spotify Technology SA')",1,"[('AIIQ', 0.065)]",New,New+1
"('6516', 'HZNP')","('Sanyo Denki Co Ltd', 'Horizon Therapeutics PLC')",1,"[('AIIQ', 0.039)]",New,New+1
"('6951', 'HZNP')","('Jeol Ltd', 'Horizon Therapeutics PLC')",1,"[('AIIQ', 0.043)]",New,New+1
"('HZNP', 'WIX')","('Horizon Therapeutics PLC', 'Wix.com Ltd')",1,"[('AIIQ', 0.06)]",New,New+1
"('CYBR', 'HZNP')","('CyberArk Software Ltd', 'Horizon Therapeutics PLC')",1,"[('AIIQ', 0.045)]",New,New+1
"('CRSP', 'HZNP')","('CRISPR Therapeutics AG', 'Horizon Therapeutics PLC')",1,"[('AIIQ', 0.068)]",New,New+1
"('HZNP', 'TEAM')","('Horizon Therapeutics PLC', 'Atlassian Corporation PLC A')",1,"[('AIIQ', 0.073)]",New,New+1
"('HZNP', 'SPOT')","('Horizon Therapeutics PLC', 'Spotify Technology SA')",1,"[('AIIQ', 0.069)]",New,New+1
"('6516', '6951')","('Sanyo Denki Co Ltd', 'Jeol Ltd')",1,"[('AIIQ', 0.038)]",New,New+1
"('6516', 'WIX')","('Sanyo Denki Co Ltd', 'Wix.com Ltd')",1,"[('AIIQ', 0.055)]",New,New+1
"('6516', 'CYBR')","('Sanyo Denki Co Ltd', 'CyberArk Software Ltd')",1,"[('AIIQ', 0.04)]",New,New+1
"('6516', 'CRSP')","('Sanyo Denki Co Ltd', 'CRISPR Therapeutics AG')",1,"[('AIIQ', 0.063)]",New,New+1
"('6516', 'TEAM')","('Sanyo Denki Co Ltd', 'Atlassian Corporation PLC A')",1,"[('AIIQ', 0.068)]",New,New+1
"('6516', 'SPOT')","('Sanyo Denki Co Ltd', 'Spotify Technology SA')",1,"[('AIIQ', 0.064)]",New,New+1
"('6951', 'WIX')","('Jeol Ltd', 'Wix.com Ltd')",1,"[('AIIQ', 0.059)]",New,New+1
"('6951', 'CYBR')","('Jeol Ltd', 'CyberArk Software Ltd')",1,"[('AIIQ', 0.045)]",New,New+1
"('6951', 'CRSP')","('Jeol Ltd', 'CRISPR Therapeutics AG')",1,"[('AIIQ', 0.068)]",New,New+1
"('6951', 'TEAM')","('Jeol Ltd', 'Atlassian Corporation PLC A')",1,"[('AIIQ', 0.072)]",New,New+1
"('6951', 'SPOT')","('Jeol Ltd', 'Spotify Technology SA')",1,"[('AIIQ', 0.069)]",New,New+1
"('TEAM', 'WIX')","('Atlassian Corporation PLC A', 'Wix.com Ltd')",1,"[('AIIQ', 0.089)]",New,New+1
"('CRSP', 'CYBR')","('CRISPR Therapeutics AG', 'CyberArk Software Ltd')",1,"[('AIIQ', 0.07)]",New,New+1
"('CYBR', 'TEAM')","('CyberArk Software Ltd', 'Atlassian Corporation PLC A')",1,"[('AIIQ', 0.074)]",New,New+1
"('CYBR', 'SPOT')","('CyberArk Software Ltd', 'Spotify Technology SA')",1,"[('AIIQ', 0.071)]",New,New+1
"('CRSP', 'TEAM')","('CRISPR Therapeutics AG', 'Atlassian Corporation PLC A')",1,"[('AIIQ', 0.097)]",New,New+1
"('SPOT', 'TEAM')","('Spotify Technology SA', 'Atlassian Corporation PLC A')",1,"[('AIIQ', 0.098)]",New,New+1
"('ACN', 'SHOP.TO')","('Accenture PLC Class A', 'Shopify Inc A')",1,"[('AIQ', 0.066)]",New,New+1
"('CSCO', 'SHOP.TO')","('Cisco Systems Inc', 'Shopify Inc A')",1,"[('AIQ', 0.067)]",New,New+1
"('BNDX', 'EZL.AX')","('Vanguard Total International Bo', 'Euroz Ltd')",1,"[('BNDW', 0.525)]",New,New+1
"('BND', 'EZL.AX')","('Vanguard Total Bond Market ETF', 'Euroz Ltd')",1,"[('BNDW', 0.475)]",New,New+1
"('AGR', 'ALB')","('Avangrid Inc', 'Albemarle Corp')",1,"[('BNE', 0.032)]",New,New+1
"('ALB', 'ALFEN')","('Albemarle Corp', 'Alfen NV')",1,"[('BNE', 0.032)]",New,New+1
"('066970.KS', 'ALB')","('L & F Co Ltd', 'Albemarle Corp')",1,"[('BNE', 0.032)]",New,New+1
"('ALB', 'VOW.DE')","('Albemarle Corp', 'Volkswagen AG')",1,"[('BNE', 0.034)]",New,New+1
