Bigram,Name,SumWeights,Holders,DiffEntries,DiffValue
"('BNDX', 'EZL.AX')","('Vanguard Total International Bo', 'Euroz Ltd')",0.525,"[('BNDW', 0.525)]",New,New+0.525
"('IJR', 'XLP')","('iShares Core S&P Small-Cap ETF', 'SPDR Select Sector Fund - Consu')",0.481,"[('FFHG', 0.481)]",New,New+0.481
"('IJH', 'XLP')","('iShares Core S&P Mid-Cap ETF', 'SPDR Select Sector Fund - Consu')",0.478,"[('FFHG', 0.478)]",New,New+0.478
"('BND', 'EZL.AX')","('Vanguard Total Bond Market ETF', 'Euroz Ltd')",0.475,"[('BNDW', 0.475)]",New,New+0.475
"('IVV', 'XLP')","('iShares Core S&P 500 ETF', 'SPDR Select Sector Fund - Consu')",0.355,"[('FFHG', 0.355)]",New,New+0.355
"('IJR', 'UWM')","('iShares Core S&P Small-Cap ETF', 'ProShares Ultra Russell2000')",0.296,"[('FFHG', 0.296)]",New,New+0.296
"('IJR', 'SSO')","('iShares Core S&P Small-Cap ETF', 'ProShares Ultra S&P500')",0.293,"[('FFHG', 0.293)]",New,New+0.293
"('IJR', 'MVV')","('iShares Core S&P Small-Cap ETF', 'ProShares Ultra MidCap400')",0.293,"[('FFHG', 0.293)]",New,New+0.293
"('IJH', 'UWM')","('iShares Core S&P Mid-Cap ETF', 'ProShares Ultra Russell2000')",0.292,"[('FFHG', 0.292)]",New,New+0.292
"('IJH', 'SSO')","('iShares Core S&P Mid-Cap ETF', 'ProShares Ultra S&P500')",0.29,"[('FFHG', 0.29)]",New,New+0.29
"('UWM', 'XLP')","('ProShares Ultra Russell2000', 'SPDR Select Sector Fund - Consu')",0.29,"[('FFHG', 0.29)]",New,New+0.29
"('IJH', 'MVV')","('iShares Core S&P Mid-Cap ETF', 'ProShares Ultra MidCap400')",0.289,"[('FFHG', 0.289)]",New,New+0.289
"('SSO', 'XLP')","('ProShares Ultra S&P500', 'SPDR Select Sector Fund - Consu')",0.287,"[('FFHG', 0.287)]",New,New+0.287
"('MVV', 'XLP')","('ProShares Ultra MidCap400', 'SPDR Select Sector Fund - Consu')",0.287,"[('FFHG', 0.287)]",New,New+0.287
"('00669.HK', '01299.HK')","('Techtronic Industries Co Ltd', 'AIA Group Ltd')",0.252,"[('FLHK', 0.252)]",New,New+0.252
"('00016.HK', '01299.HK')","('Sun Hung Kai Properties Ltd', 'AIA Group Ltd')",0.239,"[('FLHK', 0.239)]",New,New+0.239
"('00001.HK', '01299.HK')","('CK Hutchison Holdings Ltd', 'AIA Group Ltd')",0.238,"[('FLHK', 0.238)]",New,New+0.238
"('00823.HK', '01299.HK')","('Link Real Estate Investment Trust', 'AIA Group Ltd')",0.237,"[('FLHK', 0.237)]",New,New+0.237
"('00003.HK', '01299.HK')","('Hong Kong and China Gas Co Ltd', 'AIA Group Ltd')",0.234,"[('FLHK', 0.234)]",New,New+0.234
"('00002.HK', '01299.HK')","('CLP Holdings Ltd', 'AIA Group Ltd')",0.232,"[('FLHK', 0.232)]",New,New+0.232
"('01113.HK', '01299.HK')","('CK Asset Holdings Ltd', 'AIA Group Ltd')",0.231,"[('FLHK', 0.231)]",New,New+0.231
"('00027.HK', '01299.HK')","('Galaxy Entertainment Group Ltd', 'AIA Group Ltd')",0.228,"[('FLHK', 0.228)]",New,New+0.228
"('BABA', 'SPOT')","('Alibaba Group Holding Ltd ADR', 'Spotify Technology SA')",0.227,"[('KNGS', 0.227)]",New,New+0.227
"('BABA', 'NOW')","('Alibaba Group Holding Ltd ADR', 'ServiceNow Inc')",0.208,"[('KNGS', 0.208)]",New,New+0.208
"('BABA', 'TCEHY')","('Alibaba Group Holding Ltd ADR', 'Tencent Holdings Ltd ADR')",0.204,"[('KNGS', 0.204)]",New,New+0.204
"('FB', 'TCEHY')","('Facebook Inc A', 'Tencent Holdings Ltd ADR')",0.196,"[('KNGS', 0.196)]",New,New+0.196
"('00388.HK', '00669.HK')","('Hong Kong Exchanges and Clearing Ltd', 'Techtronic Industries Co Ltd')",0.185,"[('FLHK', 0.185)]",New,New+0.185
"('00016.HK', '00388.HK')","('Sun Hung Kai Properties Ltd', 'Hong Kong Exchanges and Clearing Ltd')",0.172,"[('FLHK', 0.172)]",New,New+0.172
