Symbol,Name,SumWeights,Holders,DiffEntries,DiffValue
UWM,ProShares Ultra Russell2000,0.052,"[('FFHG', 0.052)]",New,New+0.052
SSO,ProShares Ultra S&P500,0.05,"[('FFHG', 0.05)]",New,New+0.05
MVV,ProShares Ultra MidCap400,0.049,"[('FFHG', 0.049)]",New,New+0.049
TCEHY,Tencent Holdings Ltd ADR,0.044,"[('KNGS', 0.044)]",New,New+0.044
BFS,Saul Centers Inc,0.039,"[('XSHD', 0.039)]",New,New+0.039
ADS,Alliance Data Systems Corp,0.034,"[('VNMC', 0.034)]",New,New+0.034
MNRPC,Monmouth Real Estate Investment Corp C,0.031,"[('PFFR', 0.031)]",New,New+0.031
MXL,MaxLinear Inc,0.03,"[('BOUT', 0.03)]",New,New+0.03
SKX,Skechers USA Inc,0.03,"[('VNMC', 0.03)]",New,New+0.03
NVT.L,nVent Electric PLC,0.03,"[('VNMC', 0.03)]",New,New+0.03
FSP,Franklin Street Properties Corp,0.03,"[('XSHD', 0.03)]",New,New+0.03
IR,Ingersoll Rand Inc,0.029,"[('BOUT', 0.029)]",New,New+0.029
CR,Crane Co,0.029,"[('VNMC', 0.029)]",New,New+0.029
CSTM,Constellium SE A,0.029,"[('VNMC', 0.029)]",New,New+0.029
NLYPF,Annaly Capital Management Inc Cum Conv Red Pfd Registered Shs Series -F-,0.028,"[('PFFR', 0.028)]",New,New+0.028
ANSS,Ansys Inc,0.025,"[('IQM', 0.025)]",New,New+0.025
4543,Terumo Corp,0.022,"[('MDEV', 0.022)]",New,New+0.022
6951,Jeol Ltd,0.021,"[('AIIQ', 0.021)]",New,New+0.021
PLS.AX,Pilbara Minerals Ltd,0.021,"[('BNE', 0.021)]",New,New+0.021
DLRPL,Digital Realty Trust Inc 5.20% PRF PERPETUAL USD 25 Ser L,0.021,"[('PFFR', 0.021)]",New,New+0.021
AGNCP,AGNC Investment Corp FXDFR PRF PERPETUAL USD 25 Series F,0.021,"[('PFFR', 0.021)]",New,New+0.021
PSBPZ,PS Business Parks Inc PRF PERPETUAL USD 25 Dp ShRp 1/1000 Ser Z,0.02,"[('PFFR', 0.02)]",New,New+0.02
NNNPF,National Retail Properties Inc F,0.02,"[('PFFR', 0.02)]",New,New+0.02
PSAPE,Public Storage Deposit Shs Repr 1/1000th % Cum Pfd Registered Shs of Benef,0.02,"[('PFFR', 0.02)]",New,New+0.02
VNOPM,Vornado Realty Trust 5.25 % Cum Perp Red Pfd Registered Shs Series -M-,0.019,"[('PFFR', 0.019)]",New,New+0.019
6516,Sanyo Denki Co Ltd,0.017,"[('AIIQ', 0.017)]",New,New+0.017
VOW.DE,Volkswagen AG,0.016,"[('BNE', 0.016)]",New,New+0.016
ALFEN,Alfen NV,0.013,"[('BNE', 0.013)]",New,New+0.013
066970.KS,L & F Co Ltd,0.013,"[('BNE', 0.013)]",New,New+0.013
