Symbol,Name,NumAppearances,Holders,DiffEntries,DiffValue
GS,Goldman Sachs Group Inc,20,"[('IAI', 0.195), ('DIA', 0.077), ('DDM', 0.054), ('UDOW', 0.047), ('EGIS', 0.043)]",9,1
MCD,McDonald's Corp,16,"[('PEJ', 0.053), ('XLY', 0.045), ('DIA', 0.044), ('IECS', 0.044), ('IYC', 0.04)]",13,1
AMGN,Amgen Inc,14,"[('BBH', 0.088), ('IBB', 0.077), ('IBBQ', 0.076), ('BIB', 0.064), ('PJP', 0.054)]",21,1
HON,Honeywell International Inc,14,"[('PPA', 0.053), ('XLI', 0.049), ('DIA', 0.043), ('UTRN', 0.04), ('VSL', 0.04)]",21,1
BA,Boeing Co,10,"[('ITA', 0.186), ('DFEN', 0.144), ('PPA', 0.066), ('XLI', 0.042), ('DIA', 0.041)]",47,1
CPK,Chesapeake Utilities Corp,6,"[('PSCU', 0.046), ('PFFV', 0.037), ('KSCD', 0.022), ('PGF', 0.021), ('PGX', 0.016)]",131,1
WFCPQ,Wells Fargo & Co Deposit Shs Repr 1/1000th 5.85 % Non-Cum Perp Pfd Shs -A-,3,"[('PFFV', 0.041), ('PGF', 0.025), ('PGX', 0.014)]",597,1
GSPD,Goldman Sachs Group Inc Deposit Shs Repr 1/1000th Perp Fltg Rate Non Cum Pf,2,"[('PFFV', 0.029), ('PFLD', 0.028)]",1368,1
ATHPA,Athene Holding Ltd FXDFR PRF PERPETUAL USD 25 - Ser A 1/1000 Int Dep,2,"[('SPFF', 0.031), ('PFFV', 0.022)]",1653,1
USBPH,U.S. Bancorp Shs Repr 1/1000th Non-Cum Perpetual Pfd Shs Series -B-,2,"[('PFFV', 0.022), ('PFLD', 0.018)]",1369,1
JNJ,Johnson & Johnson,97,"[('IHE', 0.227), ('IEIH', 0.093), ('XLV', 0.092), ('IYH', 0.083), ('FTXH', 0.077)]",0,0
FTIXX,Goldman Sachs FS Treasury Intms Instl,56,"[('WEBS', 0.706), ('CLDS', 0.621), ('LABD', 0.604), ('FAZ', 0.592), ('SOXS', 0.584)]",1,0
VZ,Verizon Communications Inc,54,"[('IYZ', 0.213), ('LTL', 0.167), ('FDL', 0.071), ('HDV', 0.063), ('DJD', 0.061)]",1,0
HD,The Home Depot Inc,50,"[('RTH', 0.116), ('XLY', 0.087), ('IEDI', 0.074), ('IYC', 0.074), ('FDIS', 0.063)]",1,0
PYPL,PayPal Holdings Inc,49,"[('PNQI', 0.083), ('IYJ', 0.069), ('FINX', 0.065), ('IPAY', 0.064), ('SHE', 0.064)]",0,0
DAPXX,Dreyfus Government Secs Cash Mgmt Admin,48,"[('YANG', 0.968), ('JDST', 0.854), ('CHAD', 0.827), ('TZA', 0.825), ('DUST', 0.741)]",2,0
INFY.BO,Infosys Ltd,45,"[('IXSE', 0.093), ('PIN', 0.092), ('INDY', 0.087), ('INDA', 0.086), ('EPI', 0.076)]",0,0
PFE,Pfizer Inc,44,"[('IHE', 0.191), ('IEIH', 0.065), ('FDL', 0.059), ('PJP', 0.054), ('RDIV', 0.054)]",0,0
XOM,Exxon Mobil Corp,44,"[('XLE', 0.237), ('IYE', 0.236), ('VDE', 0.22), ('FENY', 0.219), ('DIG', 0.184)]",0,0
BAC,Bank of America Corp,44,"[('KBWB', 0.082), ('IYG', 0.076), ('XLF', 0.076), ('FNCL', 0.064), ('VFH', 0.064)]",0,0
TGT,Target Corp,40,"[('RTH', 0.045), ('SIXA', 0.042), ('SIXH', 0.04), ('VSMV', 0.038), ('GBLO', 0.036)]",1,0
03690,Meituan,36,"[('CHIQ', 0.101), ('EMQQ', 0.09), ('FDNI', 0.084), ('EEMO', 0.083), ('EWEB', 0.08)]",0,0
INTC,Intel Corp,36,"[('TDIV', 0.077), ('USD', 0.077), ('SOXQ', 0.075), ('SOXX', 0.071), ('VLUE', 0.061)]",0,0
